word,is_he
אחת,1
בארץ,1
ואחת,1
בקורה,1
יריד,0
בה,0
כתב,1
אות,1
אחת,1
בארץ,1
ואות,1
אחת,1
בקורה.,1
"ונוטריקון,",1
הו,0
אן,0
יכתב,0
חרפא,0
ואחדא,0
מן,0
אול,0
אלכלמה,0
יפהם,0
מנה,0
"ג'מלתהא,",0
מת'ל,0
אן,0
יכתב,0
ק,1
וינקט,0
עליה,0
פיכון,0
ד'לך,0
אשארה,0
ען,0
"קרבן,",1
או,0
יכתב,0
מ,1
ויכון,0
אשארה,0
ען,0
"מעשר,",1
ויפהם,0
מנה,0
ד'לך,0
בחסב,0
אצטלאח,0
אהל,0
אקלים,0
או,0
אהל,0
מדינה.,0
פיקול,0
ר',1
יהושע,1
בן,1
בתירה,1
אד',0
ויפהם,0
מנה,0
אלכלמה,0
כלהא,0
פכאנה,0
כתב,0
אחרפא,0
כת'ירה.,0
והלכה,1
כחכמים.,1
