word,is_he
רוחב,1
"הסיט,",1
סדס,0
"שבר,",0
והד'א,0
הו,0
אקל,0
מקדאר,0
ראיתה,0
פי,0
שרח,0
"הסיט,",1
והו,0
אלאצח,0
ענדי,0
כמא,0
בינת,0
פי,0
אלת'אלת',0
מן,0
מסכת,1
ערלה.,1
פיכון,0
רוחב,1
הסיט,1
כפול,1
ת'לת',0
שבר.,0
וראית,0
לגאון,1
אן,0
רוחב,1
הסיט,1
הו,0
מא,0
בין,0
אלאבהאם,0
ואלסבאבה,0
אד'א,0
פתחא,0
גאיהֿ,0
מא,0
ימכן.,0
פאד'א,0
ביץ',0
מן,0
אלצוף,0
או,0
נפץ',0
מנה,0
או,0
צבג,0
מקדאר,0
מא,0
יגזל,0
מנה,0
כ'יט,0
יכון,0
טולה,0
רוחב,1
הסיט,1
כפול,1
פיכון,0
חייב.,1
פאלמתלכ'ץ,0
לי,0
מן,0
שרח,0
אלאלפאץ',0
אלד'י,0
שרח,0
אלאקדמון,0
אן,0
קולהם,0
מלא,1
הסיט,1
הו,0
סדס,0
"שבר,",0
ומלוא,1
רוחב,1
הסיט,1
הו,0
בעד,0
מא,0
בין,0
אלאבהאם,0
ואלסבאבה.,0
