word,is_he
חוטי,1
"שער,",1
כ'יוט,0
"אלשער,",0
אעני,0
אלכ'יוט,0
אלמעמולה,0
מן,0
אלשער,0
לאנהא,0
לא,0
יג'רי,0
אמרהא,0
מג'רא,0
חוטי,1
צמר,1
וחוטי,1
פשתן,1
אלמד'כורה,0
פי,0
אול,0
"אלפרק,",0
לאן,0
חוטי,1
שער,1
ולו,0
שדתהא,0
עלי,0
ג'בינהא,0
גאיהֿ,0
אלשד,0
אינה,1
חוצצת,1
בל,0
ידכ'להא,0
"אלמא,",0
פלמא,0
יג'וז,0
בהא,0
אלטבילה,0
ג'אז,0
להא,0
אלכ'רוג',0
בהא,0
פי,0
אלסבת,0
כמא,0
בינא,0
פי,0
אול,0
אלפרק.,0
ולו,0
אסמענא,0
אלחכם,0
פי,0
של,1
חברתה,1
לקלנא,0
לכונהא,0
מן,0
נוע,0
"אלאנסאן,",0
אמא,0
של,1
בהמה,1
פלא,0
"יחל,",0
ולו,0
אסמענא,0
של,1
בהמה,1
לקלנא,0
למא,0
לא,0
תכרההא,0
אלנפס,0
לאן,0
לא,0
יתוקע,0
מן,0
ד'לך,0
"אד'יה,",0
אמא,0
של,0
חברתה,1
קד,0
יכון,0
פי,0
ראס,0
צאחבתהא,0
דא,0
ת'עלב,0
או,0
צלע,0
ותסתקד'רהא,0
ותזילהא,0
מן,0
ראסהא,0
וכאן,0
תחרם,0
להד'א,0
"אלסבב,",0
פאסמענא,0
אנהא,0
חלאל.,0
ופאה,1
"נכרית,",1
גלאף,0
יכון,0
קד,0
אלזק,0
עליה,0
שער,1
ג'מיל,0
כת'יר,0
ילבס,0
עאריה,0
עלי,0
אלראס,0
לתתזין,0
באלשער.,0
"ומוך,",1
לקהֿ,0
צוף,0
או,0
קטן,0
או,0
נחוהמא.,0
וקולה,0
ובמוך,1
שהתקינה,1
"לנדתה,",1
ולו,0
אחתמלתה,0
וכאן,0
גיר,0
"קשור,",1
לאנהא,0
לאסתקד'ארהא,0
לה,0
אן,0
סקט,0
לא,0
תרפעה.,0
אמא,0
מוך,1
שבאזנה,1
"ושבעקבה,",1
פחתי,0
יכון,0
מרבוטא,0
רבאטא,0
חסנא,0
פי,0
אלאד'ן,0
ואלרג'ל.,0
ואנמא,0
תג'על,0
פי,0
פמהא,0
אלפלפל,0
ואלמלח,0
ומא,0
אשבההמא,0
לתזיל,0
אלראיחה,0
אן,0
כאנת,0
ד'את,0
ראיחהֿ,0
פם.,0
ושרח,0
שן,1
"תותבת,",1
סן,0
"מג'עולה,",0
אעני,0
אן,0
יכון,0
קד,0
זאלהֿ,0
להא,0
סן,0
פתג'על,0
פי,0
ד'לך,0
אלמוצ'ע,0
סנא,0
עאריה,0
וית'בת,0
באנצ'גאטה,0
בין,0
אלאסנאן.,0
ושן,1
של,1
"זהב,",1
הו,0
אן,0
תכון,0
סן,0
מן,0
אסנאנהא,0
מגירהֿ,0
"אללון,",0
פתעמל,0
גלאף,0
ד'הב,0
עלי,0
שכל,0
תלך,0
אלסן,0
פתרכבה,0
עליהא,0
לתסתר,0
עיבהא.,0
ור',1
יקול,0
אד',0
והד'א,0
אנמא,0
פעלתה,0
מן,0
אג'ל,0
אלעיב,0
פלא,0
נקול,0
אנהא,0
תקלעה,0
ותערצ'ה,0
עלי,0
צאחבתהא.,0
ואלחכמים,0
יקולון,0
קד,0
תקלע,0
ותערצ'ה,0
פי,0
רשות,1
הרבים,1
ולד'לך,0
יחרם,0
אלכ'רוג',0
בה.,0
והלכה,1
כחכמים.,1
