word,is_he
"סירוגין,",1
קטע,1
"קטע,",1
ולו,0
שהה,1
כדי,1
לגמור,1
את,1
כולה.,1
"ומתנמנם,",1
אן,0
יכון,0
קד,0
כ'אמרה,0
אלנום,0
ולם,0
יסתגרק,0
פיה,0
כמא,0
חדדנא,0
פי,0
אכ'ר,0
פסחים.,1
וקולה,0
"כותבה,",1
בשרט,0
אן,0
יעול,0
עלי,0
אלקראה,0
אלתי,0
יקרי,0
פי,0
אלנסכ'ה,0
אלתי,0
יכתב,0
מנהא,0
אלתי,0
הי,0
"כאמלה,",0
לא,0
עלי,0
קראהֿ,0
מא,0
"ינסך',",0
לאנה,0
לא,0
יכ'רג',0
ען,0
לאזמה,0
חתי,0
יקרי,0
פי,0
נסכ'ה,0
כאמלה.,0
"סם,",1
אסם,0
אלעקאר.,0
"סקרה,",1
אלמגרה.,0
"קומוס,",1
אלזאג'.,0
"קלקנתוס,",1
"אלקלקנת,",0
והו,0
נוע,0
מן,0
אנואע,0
אלזאג'.,0
"נייר,",1
אלכאגד.,0
"דפתרא,",1
אלג'לד,0
אלד'י,0
לם,0
יכמל,0
דבאגה.,0
