word,is_he
הלכה,1
כחכמים,1
פי,0
קולהם,0
עצרת,1
כרגלים.,1
וכרבן,1
גמליאל,1
פי,0
קולה,0
ראש,1
השנה,1
ויום,1
הכפורים,1
כרגלים.,1
פאד'א,0
דפן,0
אלאנסאן,0
מיתה,1
אפילו,1
שעה,1
אחת,1
קודם,1
חג,1
המצות,1
בטלה,1
ממנו,1
גזרת,1
"שבעה,",1
ושבעת,1
ימי,1
החג,1
תנעד,0
פיעד,0
בעד,0
אלעיד,0
סתהֿ,0
עשר,0
יומא,0
ליכמל,0
ת'לאת'ין,0
יומא.,0
וכד'לך,0
אם,1
קבר,1
מתו,1
אפילו,1
שעה,1
אחת,1
לפני,1
עצרת,1
או,1
לפני,1
יום,1
הכפורים,1
וראש,1
השנה,1
אנמא,0
יעד,0
בעדהא,0
סתהֿ,0
עשר,0
יומא,0
לאנה,0
כרגלים.,1
ולד'לך,0
אד'א,0
דפן,0
קבלהא,0
בסבעה,0
איאם,0
בטלה,1
ממנו,1
גזרת,1
"שלשים,",1
אמא,0
מן,0
קבר,1
מתו,1
אפילו,1
שעה,1
אחת,1
לפני,1
חג,1
הסוכות,1
פאנה,0
בטלה,1
ממנו,1
גזרת,1
שבעה,1
כחכם,0
כל,1
"רגל,",1
ושבעת,1
ימי,1
"החג,",1
ושמיני,1
של,1
חג,1
ינעד,0
לה,0
בסבעה,0
איאם,0
איצ'א,0
לאן,0
אלאצל,0
ענדנא,0
שמיני,1
של,1
חג,1
רגל,1
בפני,1
"עצמו,",1
פלא,0
יבקא,0
עליה,0
בעד,0
שמיני,1
של,1
חג,1
גיר,0
תסעה,0
איאם,0
פקט,0
מן,0
ג'מלהֿ,0
שלשים,1
יום.,1
והקובר,1
מתו,1
ברגל,1
לא,0
ילזמה,0
אבל,1
חתי,0
אלי,0
אכ'ר,0
יום,0
מן,0
אלחג,0
אעני,0
יום,1
טוב,1
שני,1
של,1
שמיני,1
"עצרת,",1
פיבדי,0
פיה,0
בעדהֿ,0
סבעהֿ,0
איאם,0
ילזמה,0
פיהא,0
גזרת,1
"שבעה,",1
ת'ם,0
יעד,0
ת'לאת'ין,0
יומא,0
מן,0
יום,0
מאת,0
פיה,0
אלמית,0
וימתת'ל,0
פי,0
בקיתהא,0
בעד,0
אלעיד,0
גזרת,1
שלשים.,1
וגזרת,1
שבעה,1
הי,0
מא,0
"אצף,",0
וד'לך,0
אנה,0
טאל,0
אלסבעהֿ,0
איאם,0
חייב,1
בכפית,1
המטה,1
והו,0
אן,0
לא,0
יכון,0
פי,0
ביתה,0
סריר,0
אלא,0
מקלוב.,0
ואסור,1
בתשמיש,1
המטה,1
ובנעילת,1
הסנדל,1
ובעשית,1
מלאכה,1
בגלוי,1
ובשאילת,1
שלום,1
וברחיצה,1
בחמין,1
אפילו,1
מקצת,1
"גופו,",1
וברחיצת,1
כל,1
גופו,1
"בצונן,",1
ואסור,1
"בסיכה,",1
ולקרות,1
בתורה,1
ובמקרא,1
ובמשנה,1
"ובתלמוד,",1
וחייב,1
בעטיפת,1
הראש,1
והו,0
אן,0
יגטי,0
ראסה,0
ויעטה,1
על,1
"שפם,",1
ואסור,1
לשלול,1
את,1
"הקרע,",1
ואסור,1
לטול,1
צפרניו,1
בכלי,1
ולטול,1
שפמו,1
ולו,0
צ'יק,0
עליה,0
חין,0
"אלאכל,",0
ולא,0
יגסל,0
"ת'יאבה,",0
פהד'ה,0
כלהא,0
לאזמה,0
טול,0
אלסבעה,0
איאם.,0
וממא,0
יג'ב,0
אן,0
תעלמה,0
אן,0
אליום,0
אלאול,0
לא,0
יג'וז,0
לה,0
פיה,0
לבס,0
תפלין,1
ולא,1
אכל,1
קדשים,1
כמא,0
בינא,0
פי,0
"פסחים,",1
וילזמה,0
אן,0
יג'לס,0
עלי,0
סריר,0
מקלוב,0
עלי,0
אלארץ',0
ואינו,1
אוכל,1
"משלו,",1
ופי,0
אלת'לאת'ה,0
איאם,0
אלאולי,0
אסור,1
בעשית,1
מלאכה,1
ואפילו,1
"בסתר,",1
ואן,0
סלם,0
עליה,0
לא,0
ירד,0
אלסלאם,0
בל,0
יקול,0
להם,0
אבל,1
הוא.,1
וגזירת,1
שלשים,1
סתה,0
אשיא,0
והי,0
אלא,0
יחלק,0
שער,1
"ראסה,",0
ולא,0
ילבס,0
ת'ובא,0
אביצ'א,0
ג'דידא,0
מכמודא,0
או,0
"מדרוג'א,",0
ולא,0
ירפו,0
אלתכ'ריק,0
אלד'י,0
כ'רק,0
עלי,0
"אלמית,",0
ולא,0
יסאפר,0
"לתג'ר,",0
והכד'א,0
קאלוא,0
פי,0
אלירושלמי,0
על,1
כל,1
המתים,1
אסור,1
לילך,1
לסחורה,1
עד,1
שלשים,1
"יום,",1
על,1
אביו,1
ועל,1
אמו,1
עד,1
שיגערו,1
בו,1
חבריו,1
ויאמרו,1
לו,1
לך,1
עמנו.,1
ולא,0
יג'וז,0
לה,0
שרב,0
אלמנאדמה,0
טול,0
אלת'לאת'ין,0
"יומא,",0
ועל,1
אביו,1
ועל,1
אמו,1
"עאמא,",0
ולא,0
יג'וז,0
לה,0
נכאח,0
זוג'ה,0
ת'אניה,0
יזוג'הא,0
והו,0
קולהם,0
כל,1
שלשים,1
יום,1
"לנשואין,",1
פפי,0
גזרת,1
שבעה,1
ת'לאת',0
עשרה,0
"חכמא,",0
ופי,0
גזרת,1
שלשים,1
סתה.,0
