word,is_he
יקול,0
אנה,0
לא,0
יחל,0
אלתפקה,0
פי,0
סתרי,1
עריות,1
חתי,0
יכון,0
אלסאמעון,0
אקל,0
מן,0
"ת'לאת'ה,",0
ועלהֿ,0
ד'לך,0
ללא,0
ישתגל,0
אחדהם,0
במנאט'רהֿ,0
אלאסתאד',0
ואלאת'נין,0
במנאט'רהֿ,0
בעצ'הם,0
"בעץ',",0
פישתגל,0
באלהם,0
ולא,0
יתחצל,0
להם,0
אלחכם,0
אלמסתקים,0
פי,0
סתרי,1
"עריות,",1
ובשראההֿ,0
מעט'ם,0
אלנאס,0
פי,0
הד'א,0
אלמעני,0
יתסאמחון,0
אד'א,0
וקע,0
עליהם,0
אלאשכאל,0
פי,0
מא,0
סמעוא,0
מן,0
אלאסתאד',0
ויאכ'ד'ון,0
באלתכ'פיף.,0
קאל,0
ולא,1
במעשה,1
בראשית,1
בשנים,1
נאהיך,0
אן,0
יכון,0
"אכת'ר,",0
וקאלוא,0
כי,1
שאל,1
נא,1
לימים,1
ראשונים,1
יחיד,1
שואל,1
ואין,1
שנים,1
"שואלים,",1
ועלהֿ,0
ד'לך,0
קד,0
ד'כרנאהא,0
פי,0
צדר,0
כלאמנא,0
פי,0
הד'א,0
"אלתאליף,",0
וד'לך,0
אן,0
אלג'מהור,0
לא,0
ימכנהם,0
פהם,0
תלך,0
"אלמעאני,",0
ולא,0
תוכ'ד',0
אלא,0
מן,0
ואחד,0
אלי,0
"ואחד,",0
ויט'ן,0
"בהא,",0
לאן,0
קליל,0
מא,0
יעקלהא,0
"אלג'מהור,",0
ואד'א,0
סמעהא,0
אלג'אהל,0
תשוש,0
אעתקאדה,0
וט'ן,0
אנהא,0
מנאקצ'ה,0
לאלחק,0
והי,0
אלחק.,0
ואנמא,0
מעשה,1
מרכבה,1
פלא,0
יוקע,0
פיה,0
תפקה,0
לאחד,0
בוג'ה,0
ולו,0
ליחיד,1
אלא,0
אן,0
כאן,0
כמא,0
קאל,0
חכם,1
ומבין,1
"מדעתו,",1
והו,0
אן,0
ינתבה,0
ויפהם,0
אלמקאצד,0
מן,0
תלקא,0
נפסה,0
פלא,0
יחתאג',0
אן,0
יבין,0
עליה,0
בל,0
ישאר,0
אליה,0
באשארה,0
ויקיס,0
עליהא,0
הו,0
"נפסה,",0
והו,0
מעני,0
קולהם,0
שונין,1
לו,1
ראשי,1
"פרקים,",1
לאן,0
ת'ם,0
מעאני,0
תרתסם,0
פי,0
נפוס,0
אלכאמלין,0
מן,0
"אלנאס,",0
אן,0
עבר,0
ענהא,0
באללסאן,0
ומת'לת,0
באלמת'אלאת,0
כ'שנת,0
וכ'רג'ת,0
ען,0
אלגרץ'.,0
ואסמע,0
מני,0
אנא,0
הד'א,0
אלד'י,0
באן,0
לי,0
בזעמי,0
ממא,0
טאלעת,0
מן,0
כלאם,0
"אלחכמים,",0
וד'לך,0
אנהם,0
יכנון,0
במעשה,1
בראשית,1
ען,0
אלעלם,0
אלטביעי,0
ואלתגלגל,0
פי,0
מבאדי,0
"אלוג'וד,",0
וירידון,0
במעשה,1
מרכבה,1
אלעלם,0
אלאלאהי,0
אלד'י,0
הו,0
אלכלאם,0
פי,0
ג'מלהֿ,0
"אלוג'וד,",0
ופי,0
וג'וד,0
אלבארי,0
ועלמה,0
"ואוצאפה,",0
ולזום,0
אלמוג'ודאת,0
"ענה,",0
"ואלמלאיכה,",0
"ואלנפס,",0
ואלעקל,0
אלמתצל,0
"באלאנסאן,",0
ואלמציר,0
בעד,0
אלמות.,0
פלמא,0
עט'ם,0
האד'ין,0
אלעלמין,0
אלטביעי,0
ואלאלאהי,0
וחק,0
להמא,0
אלתעט'ים,0
ונהי,0
ען,0
תעלימהא,0
כסאיר,0
אלעלום,0
אלריאצ'יה,0
ועלם,0
אן,0
אלאנסאן,0
בטביעתה,0
ישתאק,0
אלי,0
אלמעלומאת,0
כלהא,0
כאן,0
ג'אהל,0
או,0
"עאלם,",0
ואן,0
לא,0
בד,0
לאלאנסאן,0
אן,0
יפכר,0
פי,0
האד'ין,0
אלעלמין,0
מן,0
אול,0
והלה,0
ויסלט,0
פכרה,0
עליהמא,0
דון,0
מבאדי,0
דון,0
תדרג',0
פי,0
"אלעלום,",0
נהי,0
ען,0
ד'לך,0
וחד'ר,0
"מנה,",0
וקאל,0
פי,0
תכ'ויף,0
אלד'י,0
יסלט,0
ד'הנה,0
פי,0
אלמבאדי,0
דון,0
מקדמאת,0
כמא,0
ד'כרנא,0
כל,1
המסתכל,1
בארבעה,1
דברים,1
וכו'.,1
