word,is_he
יקול,0
אנה,0
לא,0
יחל,0
לאלאנסאן,0
אן,0
יאכל,0
כ'בז,0
ולו,0
חולין,1
חתי,0
יגסל,0
ידיה.,0
וכד'לך,0
ילזמה,0
גסל,0
ידיה,0
לתרומה,1
ולמעשר,1
בין,1
לפת,1
בין,1
לפירות.,1
ואד'א,0
אנצ'ם,0
באלתרומה,0
דון,0
גסל,0
ידין,0
פסלה,0
ולו,0
לם,0
יחקק,0
נג'אסה,0
פי,0
ידיה,0
כמא,0
יתבין,0
פי,0
מסכת,1
טהרות.,1
ובשר,1
קדש,1
או,1
לחם,1
קדש,1
מטבל,1
ידיו,1
וחיניד',0
ינצ'ם,0
"בה,",0
וסיבין,0
פי,0
אול,0
מקוות,1
מקדאר,0
אלמיאה,0
וצפתהא,0
אלתי,0
תכון,0
פיהא,0
טבילת,1
ידים.,1
ואלחטאת,0
אלמד'כורה,0
הנא,0
הי,0
פרה,1
אדומה,1
אלתי,0
קאל,0
אללה,0
פיהא,0
חטאת,1
"היא,",1
וג'על,0
לרמאדהא,0
דרג'ה,0
פוק,0
"אלקדש,",0
וסנבין,0
עלהֿ,0
ד'לך,0
פי,0
מסכת,1
פרה.,1
פאד'א,0
אנתג'סת,0
ידיה,0
לא,0
יג'וז,0
לה,0
ינצ'ם,0
בשי,0
מן,0
אמור,0
אפר,1
הפרה,1
חתי,0
יטבול,1
כולו,1
במי,1
"מקוה,",1
לא,0
אן,0
יטביל,1
ידיו,1
פקט,0
כמא,0
יפעל,0
לגירהא,0
מן,0
אלאמור,0
אלתי,0
תחתאג',0
אלי,0
טהארה.,0
ואלאמור,0
אלתי,0
תנג'ס,0
אלידין,0
פקט,0
אד'א,0
אנצ'מת,0
בהא,0
לא,0
ג'מלהֿ,0
אלג'סם,0
הי,0
אכלין,1
טמאין,1
ומשקין,1
טמאין,1
ומא,0
שאבההא,0
מטמאות,1
קלות,1
עלי,0
מא,0
יבין,0
פי,0
מסכת,1
טהרות,1
ופרה,1
וידים.,1
