word,is_he
יג'ב,0
אן,0
תעלם,0
אן,0
נסבהֿ,0
קטר,0
אלדאירה,0
למחיטהא,0
"מג'הולה,",0
לא,0
ימכן,0
אלנטק,0
בד'לך,0
אבדא,0
עלי,0
"אלתחקיק,",0
וליס,0
נקצאן,0
אדראך,0
הד'א,0
פי,0
חקנא,0
כזעם,0
"אלג'אהליה,",0
ואנמא,0
הד'א,0
אלאמר,0
בטביעתה,0
מג'הול,0
וליס,0
פי,0
וג'ודה,0
אן,0
"ידרך,",0
ואנמא,0
יעלם,0
ד'לך,0
"בתקריב,",0
וקד,0
וצ'ע,0
מהרהֿ,0
אלמהנדסין,0
לד'לך,0
"תואליף,",0
אעני,0
למערפהֿ,0
נסבהֿ,0
אלקטר,0
לאלמחיט,0
בתקריב,0
ווג'ה,0
אלברהאן,0
פי,0
"ד'לך,",0
ואלתקריב,0
אלד'י,0
יקתצרון,0
עליה,0
אהל,0
אלתעאלים,0
אנמא,0
הו,0
נסבהֿ,0
ואחד,0
אלי,0
ת'לאת'ה,0
"וסבע,",0
פכל,0
דאירה,0
פי,0
קטרהא,0
ד'ראע,0
ואחד,0
פפי,0
מחיטהא,0
ת'לאת',0
אד'רע,0
וסבע,0
ד'ראע,0
בתקריב.,0
פלכון,0
הד'א,0
לא,0
ידרך,0
אבדא,0
אלא,0
בתקריב,0
אכ'ד'וא,0
הם,0
באלחסאב,0
אלג'ליל,0
וקאלוא,0
כל,1
שיש,1
בהקיפו,1
שלשה,1
טפחים,1
יש,1
בו,1
רוחב,1
"טפח,",1
ואקתצרוא,0
עלי,0
ד'לך,0
פי,0
מא,0
יחתאג'ון,0
אליה,0
מן,0
אלמסאחה,0
פי,0
אלשריעה.,0
