word,is_he
אלאצל,0
ענדנא,0
מא,0
אצף,0
לך,0
וד'לך,0
אן,0
אלאנסאן,0
אד'א,0
כאן,0
מקבלא,0
פי,0
אלטריק,0
כ'אצה,0
לכונה,0
עני,0
ויג'וז,0
לה,0
אן,0
יערב,1
ברגליו,1
כמא,0
"סיבין,",0
וכאן,0
בינה,0
ובין,0
מוצ'ע,0
הו,0
רשות,1
היחיד,1
אקל,0
מן,0
אלפי,0
ד'ראע,0
וכאן,0
יעלם,0
ד'לך,0
אלמוצ'ע,0
וקאל,0
שביתתי,1
במקום,1
פלוני,1
אעני,0
פי,0
ד'לך,0
"אלמוצ'ע,",0
פקד,0
קנה,1
שביתה,1
הנאך,0
וכאנה,0
הניח,1
בו,1
"ערוב,",1
ולה,0
אן,0
ימשי,0
ד'לך,0
אלמוצ'ע,0
כלה,0
וחוצה,1
לו,1
אלפים,1
"אמה,",1
ובשרט,0
אן,0
יכון,0
בקי,0
מן,0
אלנהאר,0
ענד,0
מא,0
קנה,1
שביתה,1
פי,0
ד'לך,0
אלמוצ'ע,0
בקדר,0
מא,0
יצל,0
אליה,0
עלי,0
גאיהֿ,0
מא,0
ימכנה,0
מן,0
אלסבק,0
קבל,0
דכ'ול,0
"אלסבת,",0
פנחסבה,0
כאנה,0
קד,0
וצלה.,0
וכד'לך,0
איצ'א,0
אם,1
קנה,1
שביתה,1
פי,0
רשות,1
הרבים,1
פי,0
מוצ'ע,0
מחדוד,0
מת'ל,0
עיקר,1
אילן,1
או,1
גדר,1
פלה,0
פי,0
ד'לך,0
אלמוצ'ע,0
ארבע,1
אמות,1
ואלפין,0
ד'ראע,0
כ'ארג,0
ען,0
תלך,0
אלארבע,0
אמות.,1
פלמא,0
קאל,0
הנא,0
תחתיו,1
והו,0
גיר,0
מעין,0
לא,1
אמר,1
כלום,1
בל,0
ליס,0
לה,0
אן,0
יצל,0
גיר,0
לעיקרו,1
של,1
אילן,1
"פקט,",0
ולא,0
ימשי,0
מנה,0
אלפים,1
אמה,1
"לביתו,",1
לאן,0
אלארבע,0
אמות,1
אלתי,0
לה,0
הנאך,0
גיר,0
מעינה,0
חתי,0
נקיס,0
מנהא,0
אלפים,1
"אמה,",1
והד'א,0
אנמא,0
הו,0
אד'א,0
כאן,0
תחת,1
האילן,1
ת'מאן,0
אד'רע,0
פמא,0
זאד,0
אלתי,0
יקע,0
פיה,0
אלאלבאס,0
ולא,0
נעלם,0
חית,0
קנה,1
"שביתה,",1
אמא,0
אן,0
כאן,0
תחת,1
האילן,1
אקל,0
מן,0
ת'מאן,0
"אד'רע,",0
פלה,0
אן,0
ימשי,0
מן,0
הנאך,0
איצ'א,0
לביתו,1
אלפים,1
"אמה,",1
לאנך,0
מתי,0
מא,0
אכ'ד'ת,0
מנהא,0
ארבע,1
אמות,1
אלתי,0
הי,0
שעור,1
מקום,1
שביתתו,1
תג'ד,0
בעצ'הא,0
משתרכא,0
מע,0
אלארבע,0
אמות,1
אלאכ'רי,0
אלתי,0
תקיסהא,0
מן,0
צ'ד,0
תלך,0
"אלג'הה,",0
פקד,0
צאר,0
בעץ',0
מוצ'עה,0
מעלומא,0
"צ'רורה,",0
אעני,0
בעץ',0
אלארבע,0
אמות,1
אלתי,0
לה,0
הנאך.,0
והד'א,0
כלה,0
אד'א,0
בקי,0
מן,0
אלנהאר,0
מקדאר,0
מא,0
יצל,0
אלי,0
ד'לך,0
אלמוצ'ע,0
אן,0
לו,0
ג'רי,0
כמא,0
ד'כרנא.,0
