word,is_he
אד'א,0
כאן,0
פי,0
צחן,0
אלדאר,0
אקל,0
מן,0
ד',1
אמות,1
פי,0
ד',1
אמות,1
פאלמא,0
אלד'י,0
יתצרף,0
אלאנסאן,0
בה,0
אד'א,0
צבה,0
פי,0
הד'א,0
אלצחן,0
אלצגיר,0
כ'רג',0
אלמא,0
לרשות,1
"הרבים,",1
ויכון,0
אלמא,0
אלסאיל,0
פי,0
רשות,1
הרבים,1
אתי,1
"מכוחו,",1
פלד'לך,0
לא,0
יג'וז,0
צב,0
אלמא,0
פיהא,0
חתי,0
תעמל,0
פי,0
אלצחן,0
חפרה,0
יג'תמע,0
פיהא,0
אלמא,0
תחמל,0
סאתים,1
מן,0
תחת,0
אלת'קב,0
אלד'י,0
יכון,0
פי,0
תלך,0
אלחפרה,0
אלתי,0
יכ'רג',0
מנהא,0
"אלמא,",0
לאנא,0
נקול,0
גאיהֿ,0
מא,0
יצרף,0
אלאנסאן,0
פי,0
נהארה,0
מן,0
אלמא,0
סאתים.,1
וקולה,0
בין,1
מבפנים,1
בין,1
"מבחוץ,",1
יעני,0
סוי,0
עמל,0
אלחפרה,0
דאכ'ל,0
אלדאר,0
או,0
כ'ארג',0
ען,0
"אלדאר,",0
גיר,0
אן,0
אד'א,0
כאנהֿ,0
אלחפרה,0
אלתי,0
יג'תמע,0
פיהא,0
אלמא,0
כ'ארג',0
אלדאר,0
יחתאג',0
אן,0
יקבב,0
עליהא,0
אלבניאן,0
חתי,0
תנפצל,0
מן,0
רשות,1
הרבים.,1
"וקמירה,",1
הו,0
"אלאקבא,",0
קאלוא,0
פי,0
שש,1
עגלות,1
צב,1
"קמורות,",1
יעני,0
אן,0
עליהא,0
אגטיה,0
שבה,0
קבב.,0
