word,is_he
למא,0
אן,0
קאל,0
נותנין,1
עליו,1
חומרי,1
מקום,1
שיצא,1
"משם,",1
אלד'י,0
ידל,0
אנה,0
אד'א,0
הלך,1
ממקום,1
שאינן,1
עושין,1
למקום,1
שעושין,1
אינו,1
"עושה,",1
אשתרט,0
וקאל,0
אן,0
הד'א,0
אלחכם,0
ליס,0
"במטרד,",0
ואנמא,0
אלאצל,0
אל,1
ישנה,1
אדם,1
מפני,1
המחלוקת.,1
ואלד'י,0
אוג'ב,0
אן,0
נלזמה,0
אלעטלה,0
במקום,1
שעושין,1
לאן,0
ליס,0
יט'הר,0
פי,0
ד'לך,0
כ'לאף,0
חתי,0
תחדת',0
מנה,0
"מחלוקת,",1
ואנמא,0
כאן,0
יט'הר,0
אלכ'לאף,0
לו,0
פעל,0
והם,0
לא,0
"יפעלון,",0
או,0
יפעל,0
פעלא,0
מכ'אלפא,0
"לפעלהם,",0
או,0
ינכר,0
עליהם.,0
אמא,0
אלתעטיל,0
פליס,0
יבדו,0
פיה,0
כ'לאף.,0
