word,is_he
מת'אל,0
ד'לך,0
אן,0
יכ'תלט,0
לה,0
פסח,1
מע,0
שתי,1
"עולות,",1
פיתרך,0
אלת'לאת'ה,0
כבאש,0
חתי,0
תפסל,1
ויביעהא,0
ואחדא,0
ואחדא,0
ויעלם,0
אכת'רהא,0
"ת'מן,",0
פנקול,0
מת'לא,0
אן,0
סוי,0
אלואחד,0
דינאר,0
ואלת'אני,0
דינאר,0
ונצף,0
ואלת'אלת',0
"דינארין,",0
פצח,0
לה,0
פי,0
אלת'לאת'ה,0
ארבעה,0
דנאניר,0
"ונצף,",0
פילזמה,0
אן,0
יג'יב,0
שלש,1
"בהמות,",1
את'נתין,0
מנהא,0
בדינארין,0
דינארין,0
וואחדה,0
בדינאר,0
"ונצף,",0
והד'א,0
הו,0
קולה,0
ויפסיד,1
המותר,1
"מביתו,",1
יקרב,0
מנהא,0
את'נין,0
עולה,1
וואחד,0
מן,0
אלתי,0
בדינארין,0
שלמים.,1
וממא,0
יג'ב,0
אן,0
תעלמה,0
אן,0
אלבכור,0
יאכל,1
לשני,1
ימים,1
ולילה,1
"אחד,",1
והפסח,1
אינו,1
נאכל,1
אלא,1
"בלילה,",1
ואינו,1
נאכל,1
אלא,1
עד,1
"חצות,",1
פאד'א,0
אכלנא,0
בכור,1
בתורת,1
פסח,1
פקד,0
ערצ'נא,0
בה,0
לנג'עלה,0
נותר,1
לאנה,0
לא,0
יוכל,0
אלא,1
עד,1
"חצות,",1
ואלאצל,0
ענדנא,0
אין,1
מביאין,1
את,1
הקדשים,1
לבית,1
"הפסול,",1
זר',1
שמעון,1
יקול,0
מביאין,1
את,1
הקדשים,1
לבית,1
"הפסול,",1
ולד'לך,0
יקול,0
אם,1
חבורת,1
הכהנים,1
"יאכלו,",1
יעני,0
יאכלו,1
הכל,1
עד,1
חצות,1
כחכם,0
אלפסח.,0
ואלחכמים,0
יקולון,0
ירעו,1
עד,1
שיסתאבו,1
ויג'יב,0
מת'ל,0
אסמן,0
בהימה,0
פיהא,0
ויקול,0
כל,1
היכא,1
דאיתיה,1
לפסח,1
תחול,1
קדושתו,1
על,1
"זה,",1
ויקרב,0
תלך,0
אלבהימה,0
"שלמים,",1
ויאכל,0
תלך,0
אלבהאים,0
כלהא,0
אלתי,0
אעתאבת,0
כמא,0
יוכל,0
בכור,1
בעל,1
מום.,1
ואין,1
הלכה,1
כר',1
שמעון.,1
