word,is_he
קולה,0
אין,1
מקבלין,1
מידם,1
קני,1
זבים,1
קני,1
זבות,1
קני,1
"יולדות,",1
יעני,0
מיד,1
"הכותים,",1
אמא,0
אלגוי,0
פלא,0
יערף,0
הד'ה,0
ולא,0
"יתכלפהא,",0
וכד'א,0
קאלוא,0
סופא,1
"בכותי,",1
ולד'לך,0
יקבל,0
מנהם,0
חטאות,1
"ואשמות,",1
לאנה,0
מנד',0
קצד,0
אלכפרה,0
לעלה,0
"יתוב,",0
אמא,0
אלגוים,0
פלא,0
יוכ'ד',0
מנהם,0
חטאות,1
ואשמות,1
לאן,0
אינו,1
נידר,1
ונידב.,1
וקד,0
עלמת,0
אנא,0
לא,0
נפרק,0
אליום,0
בין,1
כותי,1
וגוי,1
כמא,0
אעלמתך,0
סבב,0
ד'לך,0
פי,0
מסכת,1
ברכות,1
פי,0
קולהם,0
גזרו,1
עליהם,1
שיהוא,1
כגוים,1
לכל,1
"דבריהם,",1
פלד'לך,0
תמתחן,0
מא,0
יג'וז,0
אכ'ד'ה,0
מנהם,0
באלכלל,0
אלד'י,0
אעטאך.,0
וקטוע,0
אלהלכה,0
אנה,0
לא,0
יקבל,0
מן,0
אלגוים,0
קרבן,1
גיר,0
עולה,1
הבאה,1
בנדר,1
ונדבה,1
"פקט,",0
וקאלוא,0
פי,0
אלתלמוד,0
אין,1
מקבלין,1
מהם,1
לא,1
לאמת,1
המים,1
ולא,1
לחומת,1
העיר,1
ולמגדלותיה,1
יעני,0
ירושלם,1
לקול,0
אלאשיאך',0
להם,0
ולכם,1
אין,1
חלק,1
וצדקה,1
וזכרון,1
בירושלם.,1
