word,is_he
"דרכון,",1
כאן,0
פיה,0
שני,1
"סלעים,",1
פקאל,0
אן,0
תצרף,0
תלך,0
אלשקלים,0
אלתי,0
הי,0
פצ'ה,0
בדנאניר,0
ד'הב,0
חתי,0
יכ'ף,0
מחמלהא.,0
"ושופרות,",1
תואבת,0
עלי,0
שכל,0
אלשופר,0
יג'מע,0
פיהא,0
"אלשקלים,",0
וסנבין,0
בעד,0
לאי,0
שי,0
ג'על,0
שכלהא,0
הכד'א.,0
וקולה,0
"נשבעין,",1
יעני,0
אלארסאל,0
אלד'ין,0
חמלוא,0
הד'ה,0
אלשקלים,0
ואת'בת,0
אלתלמוד,0
אן,0
האולא,0
אלארסאל,0
שומרי,1
"שכר,",1
ומן,0
אצול,0
אלאחכאם,0
אן,0
שומר,1
שכר,1
ילזמה,0
גרם,0
מא,0
אנתלף,0
ומא,0
סרק,0
כמא,0
יבין,0
פי,0
מוצ'עה,0
אלא,0
אן,0
כאן,0
הנאך,0
אונס,1
פלד'לך,0
קאלוא,0
נגנבו,1
בליסטס,1
"מזוין,",1
יעני,0
כ'רג',0
עליהם,0
אלקטאע,0
אלמסלחון,0
באלחדיד,0
אלד'י,0
לא,0
אונס,1
אכבר,0
מן,0
"הד'א,",0
ואבדו,1
בשטבעה,1
ספינה,1
בים,1
אלד'י,0
הו,0
איצ'א,0
אונס,0
ולד'לך,0
לא,0
ילזמהם,0
גיר,0
אלימין.,0
ומעני,0
נתרמה,1
תרומה,1
מא,0
אצף,0
"לך,",0
וד'לך,0
אן,0
מאל,0
אלשקלים,0
אד'א,0
ג'מע,0
יג'על,0
פי,0
"מכ'זאן,",0
פאד'א,0
ג'על,0
הנאך,0
אכ'ד',0
מנה,0
פי,0
ת'לת',0
קפף,0
שי,0
ואכ'רג',0
ליצרף,0
פי,0
מא,0
יחתאג',0
אליה,0
מן,0
אלקרבנות,0
חתי,0
יתם,0
ד'לך,0
אלשי,0
אלד'י,0
אכ'רג',0
ויכ'רג',0
ת'אניה,0
שי,0
"אכ'ר,",0
וענד,0
מא,0
יכ'רג',0
ד'לך,0
אלשי,0
אלד'י,0
יכ'רג',0
מן,0
אלמאל,0
אלמג'תמע,0
יגרץ',0
פיה,0
אן,0
יצרף,0
פי,0
קרבנות,1
מן,0
וזן,0
ומן,0
בקי,0
לם,0
יזן,0
חתי,0
"יזן,",0
ללא,0
תכון,0
אלקרבנות,0
אלתי,0
תקרב,0
מן,0
ד'לך,0
אלשי,0
אלד'י,0
אכ'רג',0
מן,0
מאל,0
מן,0
וזן,0
פקט,0
ויבקי,0
אלד'י,0
יזן,0
בעד,0
ד'לך,0
עריא,0
מן,0
תלך,0
"אלקרבנות,",0
והד'א,0
הו,0
מעני,0
קולהם,0
תורמין,1
על,1
הגבוי,1
ועל,1
העתיד,1
"לגבות,",1
פחית',0
מא,0
תסמע,0
נתרמה,1
"תרומה,",1
מענאה,0
אן,0
אכ'ד',0
מן,0
אלמאל,0
אלמג'תמע,0
שי,0
ואכ'רג',0
ליצרף,0
פי,0
"אלקרבנות,",0
ולא,1
נתרמה,1
"תרומה,",1
הו,0
אן,0
אלמאל,0
מג'תמע,0
ולם,0
יכ'רג',0
מנה,0
שי.,0
פקאל,0
אם,1
נתרמה,1
תרומה,1
ובעד,0
ד'לך,0
תלף,0
אלמאל,0
נשבעין,1
השלוחין,1
לגזברין,1
לאן,0
מנד',0
נתרמה,1
תרומה,1
ברשות,1
גזברין,1
ינחסב,0
ולו,0
אלד'י,0
לם,0
יצל,0
"להם,",0
לאן,0
אלאצל,0
מא,0
אעלמתך,0
תורמין,1
על,1
העתיד,1
לגבות.,1
ואן,0
כאן,0
לם,0
יכ'רג',0
מן,0
אלמאל,0
שי,0
ולא,0
צרף,0
מנה,0
פיחלפוא,0
שלוחין,1
לאנשי,1
העיר,1
אן,0
ד'לך,0
תלף,0
באונס,1
ויגרמוא,0
ת'אניה,0
לאן,0
לא,1
נתרמה,1
תרומה,1
"עליהם,",1
ומתי,0
מא,0
ארסלוהא,0
מע,0
שומר,1
חנם,1
לזמהם,0
אלגרם,0
עלי,0
כל,0
וג'ה,0
לאנהם,0
"צ'יעוהא,",0
ולא,0
בד,0
מן,0
ימין,0
אלשלוחים,0
צ'רורה,0
ולו,0
קאלוא,0
אנשי,1
העיר,1
נחן,0
נזן,0
ת'אניה,0
ולא,0
נחלפהם,0
לא,0
נסמע,0
"מנהם,",0
לאן,0
תקנת,1
חכמים,1
היא,1
אין,1
הקודש,1
יוצא,1
בלא,1
שבועה.,1
