word,is_he
בינוא,0
פי,0
אלתלמוד,0
וקאלוא,0
כולה,1
כאחת,1
היתה,1
"באה,",1
יעני,0
פי,0
פצל,0
פסח,1
כאנת,0
תג'תמע,0
"כלהא,",0
ואנמא,0
רתבוא,0
אן,0
יכ'רג',0
מנהא,0
פי,0
ת'לאת'ה,0
פצול,0
כדי,1
לעשות,1
פרסום,1
"לדבר,",1
יעני,0
אן,0
ישתהר,0
ויתבין,0
אן,0
פי,0
פצל,0
פסח,1
ילזם,0
תוציל,0
תרומת,1
אלמוצ'ע,0
"אלקריב,",0
ואלד'י,0
הו,0
אבעד,0
מנה,0
פי,0
"עצרת,",1
ואלד'י,0
הו,0
אבעד,0
פי,0
"סוכות,",1
והו,0
קולהם,0
הלין,1
קריבין,1
בפרס,1
הפסח,1
והלין,1
דרחיקין,1
בפרס,1
העצרת,1
והלין,1
דרחיקין,1
מנהון,1
בפרס,1
החג.,1
ומעני,0
פרס,1
וסט,0
"אלפצל,",0
וכד'א,0
קאלוא,0
כל,1
מאן,1
דתנינא,1
פרס,1
"פלגא,",1
יעני,0
נצף,0
שהר.,0
ופי,0
אלתוספתא,0
אי,1
זה,1
הוא,1
פרס,1
אין,1
פחות,1
מחמשה,1
עשר,1
יום,1
קודם,1
לרגל.,1
ומעני,0
"תורמין,",1
קד,0
"בינאה,",0
ואנא,0
"אעידה,",0
וד'לך,0
אן,0
תג'מע,0
אלאמואל,0
כלהא,0
אלמג'תמעה,0
מן,0
אלשקלים,0
ותעמל,0
פי,0
לשכה,1
ויוכ'ד',0
מן,0
ד'לך,0
אלמאל,0
אלד'י,0
פי,0
אללשכה,0
פי,0
ג',1
קפף,0
עט'ימה,0
חסב,0
מא,0
תחמל,0
ג'מלה,0
ממא,0
אג'תמע,0
מן,0
אלמאל,0
וליס,0
להא,0
חד,0
מד'כור,0
פי,0
"אלמשנה,",0
וענהא,0
סאל,0
פי,0
אלירושלמי,0
וקאל,0
כמה,1
הוא,1
שעורן,1
של,1
קופות,1
פכאן,0
אלג'ואב,0
ילמד,1
סתום,1
מן,1
המפורש,1
יעני,0
אנא,0
נתעלמהא,0
מן,0
אלהלכה,0
אלתי,0
בעד,0
הד'ה,0
כמא,0
נבין,0
בעד.,0
ותג'על,0
אלת'לאת',0
קפף,0
פי,0
לשכה,1
מן,0
אללשכות,0
תחת,0
ת'קאף,0
ת'ם,0
יכ'רג',0
מן,0
הד'ה,0
אלת'לאת',0
קפף,0
מן,0
אלמאל,0
פי,0
הד'ה,0
אלת'לאת'ה,0
"פצול,",0
פי,0
כל,0
פצל,0
ופצל,0
מקדאר,0
מעלום,0
יצרף,0
פי,0
אלקראבין,0
כמא,0
יבין,0
פי,0
הד'ה,0
"אלמסכתא,",0
וען,0
אכ'ד',0
אלמאל,0
מן,0
אלקפף,0
אלת'לאת',0
אלתי,0
אכ'תזן,0
פיהא,0
יקול,0
בשלשה,1
פרקים,1
בשנה,1
תורמין,1
את,1
הלשכה.,1
ואכ'תלאף,0
ר',1
עקיבה,1
וחבריו,1
אנמא,0
הו,0
פי,0
אוקאת,0
אלמעשרות,0
אעני,0
מעשר,1
"בהמה,",1
וסתבין,0
אחכאם,0
ד'לך,0
עלי,0
אלתפציל,0
פי,0
אלפרק,0
אלאכ'יר,0
מן,0
מסכת,1
בכורות,1
והלכה,1
כר',1
עקיבה.,1
