word,is_he
"משערין,",1
"תקדר,",0
והי,0
לפט'ה,0
עבראניה,0
שער,1
"בנפשו,",1
יעני,0
תקטע,0
אלאסואם,0
ויתפק,0
מע,0
באעת,0
אלסמיד,0
ואלכ'מר,0
לאלקרבנות,0
באסואם,0
"מעלומה,",0
וישתרי,0
מנהם,0
כל,1
יום,1
ויום,1
מא,0
יחתאג',0
לאלקרבנות.,0
פאן,0
גלי,0
אלשי,0
אלמביע,0
פלא,0
ינקץ,0
להם,0
שיא,0
מן,0
אלסום,0
אלד'י,0
אתפק,0
מעהם,0
עליה,0
פי,0
אול,0
אלת'לאת'ין,0
"יומא,",0
ואן,0
רכ'ץ,0
אלמביע,0
זאדוא,0
פי,0
אלסום,0
ובאעוא,0
כמא,0
יביע,0
אלנאס.,0
שיד,1
הקדש,1
על,1
"העליונה,",1
יעני,0
אנה,0
יאכ'ד',0
באלחט',0
אלואפר,0
לנפסה.,0
ומעני,0
"לספק,",1
ליביע,0
מנא,0
חאג'תנא.,0
וספוק,1
הו,0
אלמאונה,0
ואלכפאיה,0
תרגום,0
ומצא,1
להם,1
היספקון,1
להון.,1
ומעני,0
"מארבע,",1
מן,0
סום,0
ארבע,1
סאין,1
בסלע.,1
ומקדאר,0
אלסאה,0
ואלסלע,0
בינאה,0
מראת,0
פי,0
זרעים.,1
וממא,0
יג'ב,0
אן,0
אד'כרה,0
פי,0
אכ'ר,0
הד'א,0
אלפרק,0
קולהם,0
פי,0
אלתלמוד,0
פר,1
העלם,1
דבר,1
ושעירי,1
עבודה,1
זרה,1
כתחלה,1
גובין,1
להן,1
ואינן,1
באין,1
מתרומת,1
הלשכה.,1
