word,is_he
מקדש,1
ראשון,1
כאנת,0
פיה,0
סתארה,0
"ואחדה,",0
ומקדש,1
שני,1
כאנת,0
את'נתין,0
לשך,0
חדת',0
להם,0
ענד,0
בניאנה,0
וסנבין,0
ד'לך,0
פי,0
מוצ'עה,0
מן,0
מסכת,1
מדות.,1
ור',1
יוסי,1
באן,0
לה,0
ד'לך,0
אלשך,0
וראי,0
אן,0
מוצ'ע,0
אלסתארה,0
יכון,0
עלי,0
צפהֿ,0
"כד'א,",0
והד'א,0
הו,0
מעני,0
קולה,0
לא,1
היתה,1
שם,1
אלא,1
פרוכת,1
"אחת,",1
וסנבין,0
ד'לך,0
פי,0
מוצ'עה.,0
וקולה,0
עד,1
שהוא,1
מגיע,1
"לארון,",1
אנמא,0
יריד,0
בה,0
למקום,1
"ארון,",1
לאן,0
פי,0
בית,1
ראשון,1
אלד'י,0
כאן,0
הנאך,0
ארון,1
לם,0
תכן,0
גיר,0
סתארה,0
"ואחדה,",0
והו,0
אנמא,0
יצף,0
הנא,0
רתבת,0
בית,1
שני,1
אלד'י,0
לם,0
יכן,0
ת'ם,0
ארון,1
וכאן,0
ענדהם,0
סתארתאן.,0
ומעני,0
קולה,0
ובא,1
לו,1
כדרך,1
בית,1
"כניסתו,",1
אנה,0
יכ'רג',0
והו,0
ימשי,0
אלי,0
"כ'לף,",0
וג'הה,0
אלי,0
קדש,1
הקדשים,1
וט'הרה,0
אלי,0
אלבאב,0
אג'לאלא,0
ואכראמא,0
"לאלמוצ'ע,",0
וכד'לך,0
אלכהנים,0
ענד,0
אנצראפהם,0
מן,0
כל,1
"עבודה,",1
ואללוים,0
ענד,0
אנצראפהם,0
מן,0
"אלדוכן,",0
וישראל,1
עד,0
אנצראפהם,0
מן,0
"אלמעמד,",0
אנמא,0
ינצרפון,0
כלהא,0
לאחוריהם.,1
ונץ,0
תפלה,1
קצרה,1
הכד'א,0
יהי,1
רצון,1
מלפניך,1
ה',1
אלהינו,1
שאם,1
היתה,1
שנה,1
זו,1
שחונה,1
תהיה,1
"גשומה,",1
ולא,1
יעדי,1
עבד,1
שלטן,1
מדבית,1
"יהודה,",1
ולא,1
יהו,1
עמך,1
בית,1
ישראל,1
צריכין,1
"לפרנסה,",1
ואל,1
תכנס,1
לפניך,1
תפלת,1
עוברי,1
דרכים.,1
ותפסיר,0
"שחונה,",1
סכ'נה,0
תרגום,0
ולא,1
יחם,1
לו,1
ולא,1
שחין,1
"ליה,",1
פידעוא,0
אן,0
יעדל,0
אללה,0
מזאג',0
הוא,0
אלעאם,0
והד'א,0
כ'יר,0
עט'ים,0
עאם,0
לאלאנסאן,0
"ואלבהאים,",0
לאן,0
אד'א,0
אעתדל,0
אלהוא,0
צחת,0
אג'סאם,0
אלמרצ'א,0
ודאמת,0
צחת,0
"אלאצחא,",0
ומקדמת,0
אלברכות,0
והסיר,1
ה',1
ממך,1
כל,1
חולי,1
וכו'.,1
ת'ם,0
ידעו,0
פי,0
דואם,0
מלך,0
אלעדל,0
ואלאנצאף,0
וד'לך,0
אכ'ר,0
"שי,",0
ת'ם,0
ידעו,0
בעד,0
הד'ין,0
אלאמרין,0
אלכליין,0
פי,0
אמור,0
גזאיה,0
לאלנאס,0
כלהם,0
באן,0
יצלח,0
אללה,0
שגל,0
כל,0
שכ'ץ,0
ויקום,0
שגלה,0
ותג'רה,0
חתי,0
לא,0
ילתג'י,0
לאלסואל,0
ואלטלבה,0
מן,0
"גירה,",0
ובעד,0
ד'לך,0
ידעו,0
פי,0
נזול,0
אלמטר,0
והו,0
קולה,0
ואל,1
תכנס,1
לפניך,1
תפלת,1
עוברי,1
"דרכים,",1
לאן,0
לא,0
דעי,0
להם,0
גיר,0
פי,0
דואם,0
אלשמס,0
וארתפאע,0
אלמטר.,0
שלא,1
להבעית,1
את,1
"ישראל,",1
ללא,0
"יפזעהם,",0
לאנה,0
אן,0
אבטי,0
יכ'שון,0
עליה,0
"אלמות,",0
לאן,0
כת'יר,0
מא,0
ימותון,0
כהנים,1
גדולים,1
פי,0
קדש,1
הקדשים,1
אן,0
לם,0
יכן,0
אהלא,0
או,0
גיר,0
שיא,0
פי,0
מעשה,1
"הקטורת,",1
אלא,0
תרי,0
קולה,0
תעלי,0
ען,0
אהרן,1
ולא,1
ימות,1
כי,1
בענן,1
וכו'.,1
ושרח,0
"שתיה,",1
"אסאס,",0
ובאלחקיקה,0
או,0
מוצ'ע,0
אלעבאדה,0
אסאס,0
אלעאלם,0
וכמא,0
ד'כרוא,0
פי,0
אול,0
אבות.,1
