word,is_he
"תריסין,",1
אלאלואח,0
אלתי,0
תגלק,0
בהא,0
אבואב,0
"אלחואנת,",0
ואד'א,0
לם,0
יכן,0
להא,0
רתאג',0
לא,0
כ'לאף,0
אנהא,0
חלאל,0
ולו,0
כאנת,0
גלק,0
לבית,0
פי,0
דאכ'ל,0
אלדאר.,0
ואד'א,0
כאן,0
להא,0
רתאג',0
פי,0
טרף,0
אללוח,0
פלא,0
כ'לאף,0
אנהא,0
חראם,0
ולו,0
כאנת,0
לחאנות,0
פי,0
רשות,1
"הרבים,",1
לאנא,0
נכ'שי,0
אן,0
יסמר,0
לית'בת,0
"אללוח,",0
ואנמא,0
אלכ'לאף,0
פי,0
אלואח,0
יכון,0
להא,0
רתאג',0
פי,0
וסט,0
אללוח,0
ופי,0
תריסי,1
חניות,1
כ'אצה.,0
בית,1
שמאי,1
יחרמון,0
ובית,1
הלל,1
יג'יזון,0
החזרת,1
תריסין,1
ונתינת,1
העור,1
לפני,1
בית,1
הדריסה,1
מן,0
סבב,0
שמחת,1
יום,1
"טוב,",1
לאן,0
אן,0
חרמנא,0
ד'לך,0
לא,0
יפתח,0
חאנותה,0
ליאכ'ד',0
מנה,0
אלאתאבל,0
ללא,0
יתרך,0
אלחאנות,0
דון,0
גלק,0
"פיסרק,",0
ולא,0
יד'בח,0
בהימה,0
אן,0
כאנת,0
ענדה,0
ללא,0
יפסד,0
לה,0
ג'לדהא.,0
"ועלי,",1
הו,0
מהראס,0
כביר,0
מן,0
"עוד,",0
והו,0
כ'שבה,0
מכ'רוטה,0
תדק,0
בה,0
אלהראיס,0
ונחוהא.,0
ושרח,0
"לקצב,",1
ליפצל,0
עליה.,0
ובית,1
שמאי,1
לא,0
יג'יזון,0
הוצאה,1
אלא,0
אן,0
כאן,0
פיהא,0
צורך,1
אכילה,1
לקולה,0
אך,1
אשר,1
יאכל,1
לכל,1
"נפש,",1
פלד'לך,0
יקולון,0
אין,1
מוציאין,1
את,1
הקטן,1
ואת,1
הלולב,1
וכל,0
מא,0
שאבההמא.,0
ובית,1
הלל,1
יקולון,0
מתוך,1
שהותרה,1
הוצאה,1
לצורך,1
אכילה,1
הותרה,1
שלא,1
"לצורך,",1
וכד'לך,0
איצ'א,0
יקולון,0
מתוך,1
שהותרה,1
הבערה,1
לצורך,1
הותרה,1
שלא,1
"לצורך,",1
והד'א,0
אצל,0
צחיח.,0
