word,is_he
תג'מילה,0
אלחרמאן,0
לכונהמא,0
שוגגין,0
פלד'לך,0
יביאו,1
קרבן,1
עלי,0
כל,0
ואחדה,0
מן,0
הד'ה,0
"אלעריות,",0
לאנה,0
ואן,0
כאן,0
אלאצל,0
ענדנא,0
אין,1
אסור,1
חל,1
על,1
אסור,1
פנחן,0
נעתקד,0
אסור,1
כולל,1
ואסור,1
מוסיף,1
ואסור,1
בת,1
"אחת,",1
ובהד'ה,0
אלת'לאת'ה,0
אצול,0
יתחייב,1
קרבנות,1
"הרבה,",1
וסנבין,0
הד'ה,0
אלאצול,0
כלהא,0
פי,0
ת'אלת',0
כרתות.,1
וכונהמא,0
נפסלו,1
מן,1
הכהונה,1
למא,0
נבעלו,1
בעילת,1
זנות,1
ועלי,0
אנהמא,0
שוגגין,1
נפסלו,1
מן,1
הכהונה,1
ואן,0
כאנא,0
ישראליות,0
לאן,0
אלאצל,0
ענדנא,0
אשת,1
ישראל,1
שנאנסה,1
"אע""פ",1
שמותרת,1
לבעלה,1
פסולה,1
לכהונה.,1
וקולה,0
הנא,0
אם,1
היו,1
כהנות,1
נפסלו,1
מן,1
"התרומה,",1
קדרוה,0
אם,1
היו,1
כהנות,1
נשואות,1
לישראל,1
נפסלו,1
מן,1
התרומה,1
יעני,0
אן,0
הד'ה,0
אלכהנת,0
ליסת,0
תאכל,1
תרומה,1
לעולם,1
ולו,0
טלקהא,0
הד'א,0
אלישראלי,0
לכונהא,0
זונה.,1
