word,is_he
כאן,0
אלאצל,0
ענדהם,0
פי,0
אלקדים,0
אן,0
בת,1
ישראל,1
אד'א,0
נתארסה,1
לכהן,1
תאכל,1
בתרומה,1
והי,0
בבית,1
אביה,1
לאן,0
קד,0
צארת,0
לאלכהן,0
קנין,1
"כספו,",1
לכן,0
חרם,0
ד'לך,0
כ'שיתנא,0
אן,0
יאכל,0
גירהא,0
מעהא,0
והיא,0
ענד,0
אביהא,0
וקאלוא,0
אנהא,0
לא,1
תאכל,1
תרומה,1
עד,1
שתכנס,1
"לחופה,",1
ואלי,0
הד'א,0
אשאר,0
פי,0
קולה,0
לעולם,1
היא,1
ברשות,1
האב,1
עד,1
שתכנס,1
לחופה,1
אנהא,0
לא,1
תאכל,1
בתרומה,1
ולו,0
הגיע,1
זמן,1
ולא,1
נשאת,1
אלתי,0
צארת,0
נפקתהא,0
לאזמה,0
לבעלהא,0
כמא,0
יתבין,0
פי,0
אלפרק,0
אלד'י,0
בעד,0
הד'א.,0
