word,is_he
נפרעת,1
שלא,1
"בפניו,",1
אן,0
תכ'רג',0
אלכתובה,0
ואלגט,0
ויכון,0
זוג'הא,0
מסאפר,0
פהי,0
תחלף,0
שבועה,1
בתורה,1
ותתקצ'י,0
מן,0
מאלה.,0
אמא,0
אן,0
גאב,0
זוג'הא,0
ולם,0
יטלקהא,0
פלם,0
תסתוג'ב,0
כתובה,1
לאן,0
אלאצל,0
ענדנא,0
לא,1
נתנה,1
כתובה,1
לגבות,1
"מחיים,",1
ואנמא,0
להא,0
מזונות,0
פקט,0
כמא,0
נבין,0
פי,0
אלפרק,0
אלאכ'יר,0
מן,0
הד'ה,0
אלמסכתא.,0
וכד'לך,0
בעל,1
חוב,1
יפרע,1
שלא,1
בפני,1
בעל,1
חובו,1
בשבועה.,1
ויתת'בת,0
פי,0
ד'לך,0
תת'בתא,0
"כת'ירא,",0
ואן,0
אמכן,0
אן,0
ירסל,0
לה,0
ויעלם,0
בד'לך,0
"פחסן,",0
ויראם,0
תעריפה,0
בכל,0
רום,0
אן,0
אמכן,0
ד'לך.,0
ולא,0
נחתאג',0
אן,0
נבין,0
לך,0
אן,0
הד'ה,0
אלשבועה,0
שבועה,1
"בתורה,",1
לאן,0
הד'א,0
אצל,0
יכון,0
ענדך,0
אן,0
כל,0
שבועה,1
מד'כורה,0
פי,0
אלמשנה,0
אנמא,0
הי,0
שבועת,1
"התורה,",1
או,1
שבועה,1
דרבנן,1
כעין,1
דאוריתא,1
בנקיטת,1
חפץ,1
איצ'א,0
כמא,0
נבין,0
פי,0
שבועות,0
והי,0
אלתי,0
נסמיהא,0
שבועה,1
בתורה.,1
ור',1
שמעון,1
יכ'אלף,0
עלי,0
אלהלכה,0
אלת'אלת'ה,0
מן,0
הד'א,0
אלפרק,0
אלד'י,0
אכ'תלף,0
פיה,0
תנא,1
קמא,1
ור',1
אליעזר.,1
וקאל,0
ר',1
שמעון,1
אן,0
אלמראה,0
לא,0
תחלף,0
ראסא,0
ואפילו,1
עשאה,1
אפוטרופיא,1
אינו,1
משביעה,1
אלא,1
אם,1
כן,1
תבעה,1
כתובתה.,1
ואין,1
הלכה,1
כר',1
שמעון.,1
