word,is_he
הד'א,0
אלהלכה,0
תחתאג',0
אלי,0
סתה,0
אצול,0
תכון,0
חאצ'רה,0
פי,0
אלד'הן,0
וחיניד',0
יבין,0
מענאהא.,0
אלאצל,0
"אלאול,",0
אן,0
מחוסר,1
כפורים,1
אסור,1
בקדשים,1
עד,1
שיביא,1
"כפרתו,",1
ואן,0
אלמצורע,0
מן,0
ג'מלהֿ,0
ארבעה,1
מחוסרי,1
כפרה,1
כמא,0
יתבין,0
פי,0
אלת'אני,0
מן,0
"כרתות,",1
וליס,0
אלנזיר,0
מן,0
ג'מלהֿ,0
מחוסרי,1
כפרה,1
כמא,0
יבין,0
הנאך.,0
ואלאצל,0
"אלת'אני,",0
אן,0
אלמצורע,0
יחלק,0
חלאקתין,0
וחיניד',0
יביא,1
"כפרתו,",1
וד'לך,0
נץ,0
"אלתורה,",0
אלחלאקה,0
אלאולי,0
ענד,0
טהארתה,0
מן,0
אלצרעת,0
בעד,0
"אלטבילה,",0
ואלחלאקה,0
אלת'אניה,0
פי,0
אליום,0
אלסאבע,0
מן,0
אלחלאקה,0
"אלאולי,",0
ויביא,1
קרבנותיו,1
בשמיני,1
וחיניד',0
יחל,0
לה,0
אכל,0
"אלקדשים,",0
והד'א,0
כלה,0
נץ,0
אלתורה.,0
ואלאצל,0
"אלת'אלת',",0
אן,0
ימי,1
ספרו,1
והי,0
אלאיאם,0
אלתי,0
בין,0
אלחלאקתין,0
וימי,1
גמרו,1
והי,0
איאם,0
אלהחלט,0
ליס,0
תנעד,0
מן,0
איאם,0
"אלנזירות,",0
וקד,0
בינא,0
ד'לך,0
פי,0
אלפרק,0
אלד'י,0
קבל,0
הד'א.,0
ואלאצל,0
"אלראבע,",0
אין,1
אדם,1
מגלח,1
תגלחת,1
אחת,1
ותעלה,1
לו,1
לנזרו,1
ולצרעתו.,1
ואלאצל,0
אלכ'אמס,0
וקד,0
"תכרר,",0
אן,0
נזיר,1
שנטמא,1
פי,0
איאם,0
אלנזירות,0
ולו,0
פי,0
אכ'ר,0
יום,0
מנהא,0
סתר,1
את,1
הכל.,1
ואלאצל,0
אלסאדס,0
והו,0
אלד'י,0
ד'כר,0
פי,0
אכ'ר,0
הד'ה,0
אלהלכה,0
הו,0
קולה,0
שתגלחת,1
הנגע,1
דוחה,1
לתגלחת,1
הנזיר,1
בזמן,1
שהיא,1
ודאי,1
אבל,1
בזמן,1
שהיא,1
ספק,1
אינה,1
דוחה.,1
פאד'א,0
כאנת,0
הד'ה,0
אלאצול,0
כלהא,0
צחיחה,0
לזם,0
מנהא,0
אן,0
נזיר,1
אד'א,0
כאנת,0
עליה,0
סתם,1
נזירות,1
אלתי,0
הי,0
שלשים,1
יום,1
כמא,0
תבין,0
והוא,0
אלד'י,0
כלאמה,0
פיה,0
פי,0
הד'ה,0
"אלהלכה,",0
ת'ם,0
אן,0
פי,0
אכ'ר,0
אלת'לאת'ין,0
יומא,0
חדת',0
לה,0
ספק,1
"טומאה,",1
או,0
כאן,0
פי,0
תלך,0
אלת'לאת'ין,0
כלהא,0
ספק,1
"טמא,",1
וכד'לך,0
איצ'א,0
כאן,0
פי,0
הד'ה,0
אלת'לאת'ין,0
יומא,0
ספק,1
מוחלט,1
פאנה,0
לא,0
ימכנה,0
אכל,0
אלקדשים,0
אלא,0
בעד,0
