word,is_he
אד'א,0
אפדינאהם,0
באכת'ר,0
מן,0
את'מאנהם,0
יג'תהדון,0
אלגוים,0
פי,0
"סביהם,",0
ואן,0
הרבנאהם,0
איצ'א,0
מן,0
ענד,0
מואליהם,0
פית'קפונהם,0
פי,0
אלחדיד,0
ויזידון,0
פי,0
עד'אבהם.,0
פאן,0
כאן,0
שבוי,1
"אחד,",1
ענד,0
רבן,1
שמעון,1
בן,1
גמליאל,1
יג'וז,0
לנא,0
"תהריבה,",0
לאן,0
ליס,0
מעה,0
שבוי,1
ת'אן,0
נכ'אף,0
עליה,0
אלעד'אב,0
ואלת'קאף,0
פי,0
אלחדיד.,0
וענד,0
אלחכמים,0
אלד'ין,0
יקולון,0
מפני,1
תקון,1
העולם,1
לא,0
יג'וז,0
תהריבה,0
ללא,0
ית'קפון,0
שבוים,0
אכ'רין,0
פי,0
אלמסתקבל.,0
והלכה,1
כחכמים.,1
