word,is_he
קד,0
תקדם,0
לנא,0
שרח,0
הד'ה,0
אלהלכה,0
חרף,0
בחרף,0
פי,0
אכ'ר,0
אלפרק,0
אלכ'אמס,0
מן,0
"שביעית,",1
לכני,0
איצ'א,0
אד'כר,0
שרחהא,0
הנא.,0
יחל,0
להא,0
דפע,0
מא,0
ד'כר,0
לחברתה,1
החשודה,1
על,1
השביעית,1
לאנהא,0
אואני,0
אינן,1
מיוחדין,1
"לעבירה,",1
לאנא,0
נקול,0
קד,0
רבמא,0
טלבת,0
אלגרבאל,0
לתעד,0
פיה,0
שי,0
מן,0
"אלמעדודאת,",0
ואלרחא,0
לחטחן,0
פיהא,0
"אלעקאקיר,",0
ואלתנור,0
לתביץ',0
פיה,0
אלגזל.,0
פלד'לך,0
אן,0
בינת,0
עליהא,0
וקאלת,0
להא,0
אדפעי,0
לי,0
גרבאל,0
נגרבל,0
בה,0
"אלקמח,",0
או,0
תנור,0
נכ'בז,0
"פיה,",0
לא,0
תדפע,0
להא,0
שי.,0
וקולה,0
אשת,1
חבר,1
משאלת,1
לאשת,1
עם,1
הארץ,1
"וכו',",1
ליס,0
פי,0
ד'לך,0
שי,0
מן,0
מעני,0
"אלשביעית,",0
ואנמא,0
הד'א,0
ג'איז,0
"דאימא,",0
לאן,0
אלאצל,0
ענדנא,0
רוב,1
עמי,1
הארץ,1
מעשרין,1
"הן,",1
פלד'לך,0
בוררת,1
וטוחנת,1
ומרקדת,1
עמה.,1
וקולה,0
משתטיל,1
מים,1
לא,1
תגע,1
"אצלה,",1
הו,0
שי,0
מן,0
מעני,0
אלטומאה,0
"ואלטהרה,",0
וד'לך,0
אן,0
עם,1
הארץ,1
ואשתו,1
ובניו,1
בחזקת,1
טומאה,1
כמא,0
יבין,0
מן,0
מואצ'ע,0
פי,0
מסכת,1
"טהרות,",1
ואלאצל,0
ענדנא,0
איצ'א,0
אן,0
אלאוכלין,0
כלהא,0
לא,0
תנתג'ס,0
אלא,0
בעד,0
אלהכשר,0
באחד,1
שבעה,1
משקין,1
כמא,0
נבין,0
פי,0
מסכת,1
"מכשירים,",1
ולהד'ה,0
אלאצול,0
כלהא,0
לזמהא,0
אלאנעזאל,0
ענהא,0
ענד,0
צב,0
אלמא,0
עלי,0
אלדקיק,0
לאנה,0
חיניד',0
יקבל,1
טומאה,1
ויציר,0
עובר,1
עבירה,1
לאנג'אסה,0
אלתרומה,0
ולו,0
עלי,0
אלאצל,0
אלאכ'יר,0
אלד'י,0
הו,0
מותר,1
לגרום,1
טומאה,1
לחולין,1
שבארץ,1
"ישראל,",1
לאן,0
הד'ה,0
אלעג'נה,0
פיהא,0
לזום,0
תרומה,0
והי,0
קדש,0
פאעלם,0
ד'לך.,0
ת'ם,0
קאל,0
אן,0
כל,0
מא,0
ד'כרנא,0
מן,0
אבאחהֿ,0
אלעאריה,0
ולו,0
עלי,0
אלשך,0
ואלמעונה,0
אליסירה,0
אנמא,0
ד'לך,0
מפני,1
דרכי,1
שלום.,1
ומחזקין,1
ידי,1
גוים,1
"בשביעית,",1
באלקול,0
"פקט,",0
מת'ל,0
או,0
יראה,0
יכ'דם,0
אלארץ',0
יקול,0
לה,0
יעינך,0
"אללה,",0
או,0
ינג'ח,0
"סעיך,",0
ונחו,0
ד'לך.,0
ושואלין,1
בשלומן,1
של,1
גוים,1
ואפילו,1
ביום,1
אידן.,1
