word,is_he
קד,0
עלמת,0
אן,0
אלמנה,1
לכהן,1
גדול,1
גרושה,1
וחלוצה,1
לכהן,1
הדיוט,1
הולד,1
"חלל,",1
ולא,0
יקאל,0
פי,0
הד'ה,0
הולד,1
הולך,1
אחר,1
"הפגום,",1
ואנמא,0
לכונהא,0
מן,0
חייבי,1
לאוין,1
והולד,1
פגום,1
ג'מלהא,0
מע,0
חייבי,1
לאוין,1
אלתי,0
ימכן,0
פיהם,0
אן,0
יקאל,0
הולד,1
הולך,1
אחר,1
"הפגום,",1
לאן,0
ישראל,1
שנשא,1
ממזרת,1
או,1
ממזר,1
שנשא,1
ישראלית,1
הולד,1
ממזר.,1
וכד'לך,0
אלחכם,0
פי,0
נתין,1
ונתינה.,1
ומע,0
כון,0
הד'ה,0
אלכללות,0
צחיחה,0
ומעול,0
"עליהא,",0
לכן,0
שד',0
פי,0
אלכלל,0
אלאול,0
זואג',0
ואחד,0
פקט,0
והו,0
גר,1
שנשא,1
ממזרת,1
לאנה,1
יש,1
קדושין,1
ואין,1
"עבירה,",1
לאן,0
אלגר,0
מותר,1
"בממזרת,",1
לאן,0
קטוע,0
אלהלכה,0
קהל,1
גרים,1
לא,1
אקרי,1
"קהל,",1
לכן,1
הולד,1
"ממזר,",1
וכד'לך,0
ממזר,1
שנשא,1
"גיורת,",1
פהד'א,0
אלזואג',0
פקט,0
ועלי,0
אנה,0
דון,0
עבירה,0
הולד,1
הולך,1
אחר,1
הפגום.,1
וממא,0
יג'ב,0
אן,0
תעלמה,0
אן,0
מצרי,1
שני,1
שנשא,1
מצרית,1
ראשונה,1
הולד,1
שלישי,1
לאנהא,0
קדושין,1
בלא,1
עבירה,1
והולד,1
הולך,1
אחר,1
הזכר.,1
וכד'לך,0
לו,0
אזוג',0
אדומי,1
ראשון,1
לאדומית,1
שניה,1
כאן,0
אלולד,0
שני.,0
וקאל,0
אללה,0
פי,0
אלשפחה,0
האשה,1
"וילדיה,",1
ולדה,1
כמוה.,1
וקאל,0
פי,0
אלגויה,0
כי,1
יסיר,1
את,1
בנך,1
"מאחרי,",1
בנך,1
קרוי,1
בנך,1
ואין,1
בנך,1
הבא,1
מן,1
הגויה,1
קרוי,1
בנך,1
אלא,1
בנה.,1
