word,is_he
קאל,0
אג'על,0
תלמוד,1
תורה,1
אלאצל,0
וכל,0
מא,0
סואה,0
מן,0
אשגאלך,0
"תאבעה,",0
אן,0
אתפק,0
אתפק,0
ואן,0
לם,0
יתפק,0
פלא,0
אד'יה,0
פי,0
פותה.,0
וקאלוא,0
צדיקים,1
אומרים,1
מעט,1
ועושים,1
הרבה,1
מת'ל,0
אברהם,1
ועד,0
בפת,1
לחם,1
"אחת,",1
פג'אב,0
חמאה,1
וחלב,1
ובן,1
הבקר,1
ושלש,1
סאים,1
קמח,1
"סלת,",1
ורשעים,1
אומרים,1
הרבה,1
ואפילו,1
מעט,1
אין,1
עושים,1
מת'ל,0
עפרון,1
באלקול,0
והב,0
"אלכל,",0
נענד,0
אלפעל,0
לם,0
יתרך,0
ולו,0
דינאר,0
ואחד,0
מן,0
אלסויה.,0
וסבר,1
פנים,1
"יפות,",1
בסמאחה,0
ובשאשה.,0
