word,is_he
קד,0
בינא,0
פי,0
עאשר,0
סנהדרין,1
אן,0
ליס,0
בעד,0
אלמות,0
כמאל,0
ולא,0
"תזיד,",0
ואנמא,0
יכמל,0
אלאנסאן,0
ויזדאד,0
דרג'א,0
פי,0
הד'א,0
"אלעאלם,",0
ואלי,0
הד'א,0
ישיר,0
שלמה,1
בקולה,0
כי,1
אין,1
מעשה,1
ודעת,1
וחשבון,1
וחכמה,1
בשאול,1
אשר,1
אתה,1
הולך,1
"שמה,",1
בל,0
עלי,0
אלחאלה,0
אלתי,0
ינצרף,0
אלאנסאן,0
עליהא,0
יבקי,0
אבדא.,0
פלד'לך,0
ינבגי,0
אלאג'תהאד,0
פי,0
הד'ה,0
אלמדידה,0
אליסירה,0
ולא,0
תצ'יע,0
אלא,0
פי,0
אלאכתסאב,0
"פקט,",0
לאן,0
כ'סארתהא,0
עט'ימה,0
אד',0
לא,0
עוץ',0
מנהא,0
ולא,0
ימכן,0
אלאנג'באר,0
מעהא.,0
פלמערפהֿ,0
אלפצ'לא,0
בהד'א,0
מא,0
ראוא,0
באתלאפהא,0
גיר,0
פי,0
אלעלם,0
"ואלתזיד,",0
ורבחוא,0
זמאנהם,0
כלה,0
עלי,0
"אלחקיקה,",0
ולא,0
בד'רוא,0
מנה,0
פי,0
אלאמור,0
אלג'סמאניה,0
אלא,0
אקצר,0
וקת,0
ופי,0
שי,0
לא,0
בד,0
מנה.,0
ואכ'רין,0
נפר,0
ענהם,0
בג'מלתה,0
פי,0
אלג'סמאניאת,0
"פקט,",0
וכ'רג'וא,0
מנה,0
מת'ל,0
מא,0
דכ'לוא,0
כל,1
עמת,1
שבא,1
כן,1
"ילך,",1
פכ'סרוה,0
כ'סארהֿ,0
אלאבד.,0
ואלעאמה,0
בג'מלתהא,0
תעכס,0
אלחק,0
פי,0
הד'ה,0
אלמסאלה,0
ותקול,0
ען,0
אלפרקה,0
אלאולי,0
כ'סרוא,0
אלדניא,0
וען,0
אלפרקה,0
אלאכ'ירה,0
רבחוא,0
"אלדניא,",0
ואלאמר,0
באלעכס,0
כמא,0
"וצפנא,",0
שמים,1
אור,1
לחשך,1
וחשך,1
"לאור,",1
פויל,0
לאלכ'אסרין,0
באלחקיקה.,0
והד'א,0
אלמעני,0
הו,0
אלד'י,0
אתכ'ד'ה,0
שלמה,1
אצלא,0
פי,0
קהלת,1
פי,0
מדחה,0
לרבח,0
אלדניא,0
וד'מה,0
לכ'סארתהא,0
ואלתצריח,0
באנה,0
לא,0
רבח,0
ולא,0
מכנה,0
בעד,0
אלמות,0
מן,0
אלשי,0
אלד'י,0
יפותך,0
"הנא,",0
והד'א,0
כלה,0
"צחיח,",0
ואד'א,0
אעתברת,0
ד'לך,0
אלכתאב,0
הד'א,0
אלעאתבאר,0
באן,0
לך,0
אלחק.,0
