word,is_he
קולה,0
לידע,1
ולהודיע,1
"ולהודע,",1
יריד,0
בה,0
ליערף,0
אלד'ין,0
"יולדון,",0
ואלד'ין,0
הם,0
אלאן,0
מולודון,0
"וימותון,",0
ואלד'ין,0
יעישון,0
בעד,0
"אלמות,",0
ליעם,0
אלעלם,0
להד'ה,0
אלת'לאת',0
טואיף,0
שהוא,1
היוצר,1
והוא,1
הבורא.,1
וקולה,0
והוא,1
דיין,1
והוא,1
עתיד,1
"לדון,",1
יריד,0
בה,0
אנה,0
אלחאכם,0
אלאן,0
עלי,0
אלכל,0
באלחיאה,0
ואלמות,0
ובסאיר,0
אמור,0
"אלדניא,",0
והו,0
איצ'א,0
סיחכם,0
עלי,0
אלד'ין,0
יעישון,0
פי,0
אלאכ'רה,0
באלג'זא,0
ואלעקאב.,0
וקולה,0
ולא,1
מקח,1
שחד,1
כמא,0
קאל,0
איצ'א,0
פי,0
אלתורה,0
אשר,1
לא,1
ישא,1
פנים,1
ולא,1
יקח,1
"שחד,",1
ליס,0
מענאה,0
אנה,0
לא,0
יאכ'ד',0
אלמאל,0
פימיל,0
"אלחכם,",0
אד',0
מן,0
אלחק,0
אן,0
ינפי,0
ענה,0
תעלי,0
מא,0
לא,0
יתצור,0
ולו,0
פי,0
"אלכ'יאל,",0
כיף,0
ידפע,0
לה,0
אלשחד,0
ומא,0
יכון,0
"אלשחד,",0
ואנמא,0
מענאה,0
מא,0
בינוא,0
אנה,0
לא,1
יקח,1
שחד,1
"אלחסנאת,",0
מת'ל,0
אן,0
יפעל,0
אלאנסאן,0
אלף,0
חסנה,0
וסיה,0
ואחדה,0
פליס,0
יסקט,0
לה,0
תעלי,0
תלך,0
אלעבירה,0
לכת'רהֿ,0
חסנאתה,0
ותחסב,0
לה,0
אלף,0
חסנה,0
גיר,0
חסנה,0
או,0
גיר,0
"חסנאת,",0
בל,0
יטאלב,0
בהד'ה,0
ויג'אזי,0
עלי,0
"תלך,",0
והד'א,0
הו,0
מעני,0
לא,1
יקח,1
"שחד,",1
והו,0
מת'ל,0
לא,1
ישא,1
"פנים,",1
אלא,0
יטאלב,0
אלכביר,0
פי,0
אלפצ'ילה,0
באיסר,0
שי,0
כמא,0
טאלב,0
משה,1
רבינו,1
בד'נב,0
אלחרג',0
עלי,0
מא,0
בינא,0
פי,0
אלפצול,0
"אלמתקדמה,",0
וג'אזי,0
עשו,1
הרשע,1
עלי,0
כבוד,1
אב,1
"ואם,",1
ונבוכדנצר,1
עלי,0
אכראם,0
אלאסם,0
אעני,0
אסם,0
אללה,0
כמא,0
באן,0
פי,0
סנהדרין,1
גמר,1
"$,",0
והד'א,0
הו,0
מעני,0
לא,1
משוא,1
פנים.,1
אעתבר,0
קולה,0
שעל,1
כרחך,1
אתה,1
נוצר,1
ומא,0
אתצל,0
"בד'לך,",0
לאנה,0
ד'כר,0
אמור,0
טביעיה,0
לא,0
אכ'תיאר,0
לאלאנסאן,0
פיהא,0
אלתי,0
ענהא,0
יקולון,0
הכל,1
בידי,1
"שמים,",1
ולם,0
יקול,0
שעל,1
כרחך,1
אתה,1
חוטא,1
או,1
אתה,1
עובר,1
או,1
מהלך,1
או,1
עומד,1
ומא,0
אשבה,0
"ד'לך,",0
לאן,0
הד'ה,0
כלהא,0
אמור,0
ביד,0
אלאנסאן,0
לא,0
ג'בר,0
פיהא,0
כמא,0
בינא,0
פי,0
אלפצל,0
אלת'אמן.,0
