word,is_he
לקד,0
רמת,0
אן,0
לא,0
אתכלם,0
פי,0
הד'ה,0
אלוציה,0
לאנהא,0
"בינה,",0
ולעלמי,0
איצ'א,0
אן,0
כלאמי,0
פיהא,0
לא,0
יואפק,0
מעט'ם,0
אלאכאבר,0
פי,0
אלשריעה,0
בל,0
קד,0
רב,0
מא,0
"כלהם,",0
לכן,0
אקול,0
ולא,0
אבאלי,0
מן,0
גיר,0
מראעאת,0
מן,0
תקדם,0
ולא,0
מן,0
פי,0
אלאן.,0
אעלם,0
אן,0
הד'א,0
קד,0
קאל,0
לא,0
תתכ'ד',0
אלתורה,0
קאדום,0
תחפר,0
"בהא,",0
יעני,0
לא,0
תט'נהא,0
אלה,0
"לאלמעישה,",0
וצרח,0
וקאל,0
אן,0
כל,0
מן,0
יסתנפע,0
פי,0
הד'א,0
אלעאלם,0
בכבוד,1
תורה,1
אנה,0
קטע,0
נפסה,0
מן,0
חיי,1
העולם,1
"הבא,",1
ותעאמוא,0
אלנאס,0
ען,0
הד'א,0
אלנץ,0
אלג'לי,0
ואטרחוה,0
כ'לף,0
צ'הורהם,0
ותעלקוא,0
בט'ואהר,0
לם,0
יפהמוהא,0
ואנא,0
"אבינהא,",0
ואפרצ'וא,0
להם,0
אלחקוק,0
עלי,0
אלאשכ'אץ,0
ועלי,0
"אלג'מוע,",0
וג'עלוא,0
אלתקדמאת,0
אלשרעיה,0
שריעהֿ,0
"אלמכוס,",0
ואוהמוא,0
אלנאס,0
בדהא,0
מחץ',0
אן,0
הד'א,0
לאזם,0
וואג'ב,0
ליעאן,0
אלעלמא,0
ואלתלמידים,0
ואלאקואם,0
אלמשתגלין,0
באלשריעה,0
ותורתן,1
אומנותן.,1
וכל,0
ד'לך,0
כ'טא,0
לא,0
חקיקה,0
לה,0
פי,0
אלשריעה,0
ולא,0
סאק,0
ירתפד,0
עליהא,0
"בוג'ה,",0
לאנא,0
אד'א,0
נט'רנא,0
פי,0
את'אר,0
אלחכמים,0
"ז""ל",1
לם,0
נג'ד,0
ענדהם,0
לא,0
תגרים,0
לאלנאס,0
ולא,0
ג'מע,0
לאלישיבות,0
אלמעט'מה,0
אלמכרמה,0
ולא,1
לראשי,1
גלויות,1
ולא,1
לאלדיינין,0
ולא,1
למרביצי,1
תורה,1
ולא,0
לאחד,0
מן,0
אלמתקדמין,0
ולא,0
לסאיר,0
אלנאס.,0
אלא,0
נג'ד,0
ג'מיעהם,0
כלהם,0
יכון,0
פיהם,0
אלצ'עיף,0
אלחאל,0
פי,0
אלגאיה,0
ואלגני,0
אלעט'ים,0
פי,0
"אלגאיה,",0
ותעלי,0
אללה,0
אן,0
אקול,0
אנהם,0
מא,0
כאנוא,0
יואסון,0
ולא,0
"יתצדקון,",0
בל,0
ד'לך,0
אלצ'עיף,0
אלחאל,0
לו,0
מד,0
ידה,0
לאלאכ'ד',0
למלו,0
עליה,0
מוצ'עה,0
ד'הב,0
"וג'והר,",0
לכנה,0
לם,0
"יפעל,",0
בל,0
יקתצר,0
עלי,0
צנאעה,0
ינעאש,0
מנהא,0
אמא,0
בסעה,0
או,0
"בצ'יק,",0
ויתהאון,0
במא,0
פי,0
אידי,0
אלנאס,0
אד',0
אלשרע,0
מנעה,0
מן,0
ד'לך.,0
וקד,0
עלמת,0
אן,0
הלל,1
הזקן,1
כאן,0
חטאבא,0
יחתטב,0
אלחטב,0
ויקרי,0
עלי,0
שמעיה,1
ואבטליון,1
והו,0
פי,0
גאיהֿ,0
"אלעניות,",0
ומנזלתה,0
חית',0
הי,0
ותלאמידה,0
הם,0
אלד'ין,0
אקרנוא,0
במשה,1
"ויהושע,",1
ואצגר,0
תלאמידה,0
רבן,1
יוחנן,1
בן,1
"זכאי,",1
ולא,0
ישך,0
עאקל,0
אנה,0
לו,0
אנעם,0
עלי,0
אהל,0
עצרה,0
במשארכתה,0
למא,0
תרך,0
יחתטב,0
אלחטב.,0
וחנניה,1
בן,1
דוסא,1
אלד'י,0
אלנדא,0
עליה,0
כל,1
העולם,1
כולו,1
אינו,1
נזון,1
אלא,1
בשביל,1
חנניה,1
בני,1
וחנניה,1
בני,1
דיו,1
קב,1
חרובין,1
מערב,1
שבת,1
לערב,1
"שבת,",1
ולא,0
טלב,0
מן,0
אלנאס.,0
וקרנא,1
דיין,1
פי,0
ג'מיע,0
ארץ,1
ישראל,1
והו,0
יסקי,0
באלראויה,0
פאד'א,0
ג'א,0
אלכ'צום,0
יקול,0
אמא,0
אן,0
תדפעוא,0
לי,0
מן,0
יסתקי,0
עני,0
לאשתגאלי,0
מעכם,0
או,0
תהבוני,0
קדר,0
מא,0
אנעטל,0
מן,0
שגלי,0
ונחכם,0
"לכם,",0
ולא,0
כאנוא,0
ישראל,1
אלמעאצרין,0
להאולא,0
וגירהם,0
לא,0
אכזראים,1
ולא,0
גיר,0
גומלי,1
"חסדים,",1
ולא,0
וג'דנא,0
חכם,1
מן,0
אלחכמים,0
אלצ'יקין,0
אלחאל,0
יד'ם,0
אהל,0
עצרה,0
אלד'י,0
לא,0
יוסע,0
עליה,0
תעלי,0
"אללה,",0
בל,0
הם,0
אנפסהם,0
כאנוא,0
פצ'לא,0
מעתקדין,0
אלחק,0
"לנפסה,",0
מומנין,0
באללה,0
ובשריעהֿ,0
משה,1
רבינו,1
אן,0
בהא,0
אלפוז,0
פי,0
דאר,0
"אלבקא,",0
לא,0
יסתביחון,0
"ד'לך,",0
וירון,0
אנה,0
חלול,1
ה',1
ענד,0
"אלעואם,",0
לאנהם,0
יט'נון,0
אלתורה,0
צנאעה,0
מן,0
אלצנאיע,0
אלתי,0
יתמעש,0
בהא,0
פתהון,0
"ענדהם,",0
ויכון,0
פאעל,0
הד'א,0
דבר,1
ה',1
בזה.,1
ואנמא,0
גלט,0
האולא,0
אלד'ין,0
יכאברון,0
אלחק,0
ואלנצוץ,0
אלג'ליה,0
פי,0
אכ'ד',0
אמואל,0
אלנאס,0
ברצ'אהם,0
או,0
באלכרה,0
אלמעשיות,0
אלד'ין,0
יג'דון,0
פי,0
אלתלמוד,0
מן,0
אקואם,0
