word,is_he
אלחכמים,0
יקולון,0
אחריות,1
טעות,1
סופר,1
"היא,",1
ולד'לך,0
לא,0
פרק,0
ענדהם,0
בשטר,1
שיש,1
בו,1
אחריות,1
או,1
שטר,1
סתם,1
ליס,0
פיה,0
ד'כר,0
אחריות,1
נפרעין,1
בו,1
מנכסים,1
"משועבדין,",1
ולד'לך,0
לא,1
יחזיר.,1
ולו,0
אקר,0
אלד'י,0
עליה,0
תלך,0
אלות'יקה,0
אנהא,0
קבלה,0
ולם,0
ידפע,0
מנהא,0
שי,0
לא,1
"יחזיר,",1
לאנא,0
נכ'שי,0
איאך,0
מואטאה,0
בינהמא,0
ליסתכ'רג',0
בה,0
נכסים,1
משועבדים,1
ויטרוף,1
לקוחות,1
שלא,1
כהוגן.,1
והלכה,1
כחכמים,1
אלד'ין,0
יקולון,0
אחריות,1
טעות,1
סופר,1
היא.,1
אמא,0
אן,0
כאן,0
מבין,0
פי,0
אלשטר,0
על,1
מנת,1
שאין,1
לך,1
עלי,1
אחריות,1
פהו,0
יחזיר,1
אד'א,0
אקר,0
אלד'י,0
עליה,0
אלדין.,0
