word,is_he
אד'א,0
אשתרי,0
מא,0
יסוי,0
סתה,0
"בכ'מסה,",0
או,0
מא,0
יסוי,0
כ'מסה,0
"בסתה,",0
או,0
מא,0
יסוי,0
סתה,0
"בסבעה,",0
או,0
מא,0
יסוי,0
סבעה,0
"בסתה,",0
הד'א,0
כלה,0
שתות,1
"יתסמי,",0
ואונאה,1
"הי,",0
לא,0
פרק,0
בין,0
סדס,0
אלת'מן,0
או,0
סדס,0
"אלסלעה,",0
ואלמשתרי,0
ואלבאיע,0
יקום,0
כל,0
ואחד,0
מנהמא,0
"באלגבן,",0
לכן,0
אלמשתרי,0
כדי,1
שיראה,1
לתגר,1
או,1
"לקרובו,",1
ואלבאיע,0
יקום,0
באלגבן,0
ולו,0
בעד,0
"סנין,",0
והו,0
קולהם,0
מוכר,1
חוזר,1
"לעולם,",1
לאן,0
בגיב,0
אלסלעה,0
ענה,0
לא,0
ידרי,0
ת'מנהא,0
חתי,0
יתפק,0
לה,0
אן,0
ירי,0
מת'להא,0
ויעלם,0
ת'מנהא.,0
ואין,1
הלכה,1
כר',1
טרפון.,1
