word,is_he
ליס,0
כל,0
אנסאן,0
ימיז,0
"אלדנאניר,",0
פלד'לך,0
ג'עלנא,0
לה,0
אמדא,0
כדי,1
שיראה,1
לשלחני.,1
ואן,0
כאן,0
פי,0
ריף,0
עד,1
ערבי,1
שבתות,1
אלד'י,0
יקבל,0
אלנאס,0
לאלאסואק,0
פיריהא,0
לממיז.,0
וקולה,0
אם,1
היה,1
"מכירה,",1
אנמא,0
לה,0
תקדיר,0
"הכד'א,",0
אם,1
היה,1
מכירה,1
מקבלה,1
ממנו,1
אפילו,1
לאחר,1
שנים,1
עשר,1
חדש,1
במדת,1
"חסידות,",1
ואם,1
לא,1
רצה,1
לקבלה,1
אין,1
לו,1
עליו,1
אלא,1
תרעומת,1
שאינה,1
אלא,1
נפש,1
רעה.,1
והד'א,0
אלחכם,0
אנמא,0
ילזם,0
פי,0
אלמואצ'ע,0
אלד'י,0
תוכ'ד',0
פיהא,0
אלדנאניר,0
דון,0
מיזאן,0
ולא,0
יבאלי,0
"בנקצאנהא,",0
ואן,0
תמנע,0
מן,0
אכ'ד'הא,0
פקליל,0
ועלי,0
ג'ההֿ,0
"אלתעפף,",0
אמא,0
מואצ'ע,0
יחאסב,0
בקדר,0
אלנקץ,0
ולו,0
וזן,0
חבה,0
פיכמל,0
לה,0
אלוזן,0
בלא,0
"שך,",0
ודליל,0
ד'לך,0
קולה,0
שאינה,1
אלא,1
נפש,1
דעה.,1
