word,is_he
קאל,0
אללה,0
וכי,1
תמכרו,1
ממכר,1
וכו',1
אל,1
"תונו,",1
דבר,1
הנקנה,1
מיד,1
"ליד,",1
יצאו,1
קרקעות,1
שאין,1
"מטלטלין,",1
ויצאו,1
עבדים,1
שהוקשו,1
לקרקעות,1
פי,0
קולה,0
פיהם,0
לרשת,1
"אחוזה,",1
ויצאו,1
שטרות,1
דאמר,1
קרא,1
"ממכר,",1
מי,1
שגופו,1
מכור,1
"וקנוי,",1
יצאו,1
אלו,1
שאין,1
גופן,1
מכור,1
וקנוי,1
אלא,1
לראיה,1
שבהן.,1
וקד,0
בינא,0
וסנבין,0
פי,0
מא,0
נסתקבל,0
מן,0
הד'א,0
אלסדר,0
מן,0
אי,0
אלוג'וה,0
לם,0
ילזם,0
פיהא,0
תשלומי,1
כפל,1
ותשלומי,1
ארבעה,1
וחמשה,1
ונפטר,1
שומר,1
חנם,1
ונושא,1
שכר.,1
ואין,1
הלכה,1
כר',1
שמעון.,1
ולא,1
כר',1
יהודה.,1
