word,is_he
"שובך,",1
ברג',0
אלחמאם.,0
"נמיה,",1
"אלנמס,",0
לאנה,0
יאכל,0
פראך',0
אלחמאם.,0
ושגר,1
"היונה,",1
הו,0
ג'מלהֿ,0
אלחמאם,0
אלתי,0
תטיר,0
דפעה,0
מת'ל,0
שגר,1
אלפיך,1
אלתי,0
הי,0
קטאיע,0
אלגנם.,0
וקולה,0
ואם,1
לקחו,1
אפילו,1
בית,1
"רובע,",1
ולו,0
לם,0
יכן,0
בינה,0
ובין,0
אלמדינה,0
גיר,0
בית,1
רובע,1
יעני,0
צ'לע,0
מרבע,0
בית,1
רובע,1
וד'לך,0
עשרה,0
אד'רע,0
וכ'מס,0
באלתקריב,0
לא,0
ילזם,0
אבעאדה,0
בל,0
יבקי,0
עלי,0
מא,0
הו,0
עליה,0
והו,0
קולה,0
בחזקתו.,1
וקד,0
עלמת,0
אן,0
אלכור,0
שלשים,1
"סאה,",1
פכאן,0
ר',1
יהודה,1
יקול,0
בית,1
כור,1
לכל,1
רוח,1
וד'לך,0
מאתין,0
ות'לאת',0
וסבעון,0
ד'ראעא,0
וארבע,0
אכ'מאס,0
לכל,1
רוח,1
בתקריב.,0
ואין,1
הלכה,1
כר',1
יהודה.,1
"ומזחילה,",1
קנאה,0
יסיל,0
בהא,0
מא,0
אלמטר.,0
