word,is_he
קד,0
בינא,0
פי,0
מואצ'ע,0
מן,0
סדר,1
נשים,1
אן,0
אסם,0
כתובה,1
ואקע,0
עלי,0
מנה,1
מאתים,1
אלד'י,0
הו,0
עיקר,1
כתובה,1
מע,0
אלתוספת,0
אלתי,0
יזידהא,0
משלו.,1
ונכסים,1
הנכנסין,1
והיוצאין,1
"עמה,",1
הי,0
נכסי,1
"מלוג,",1
וקד,0
בינא,0
ד'לך,0
איצ'א,0
הנאך.,0
פקול,0
בית,1
הלל,1
הנא,0
נכסים,1
בחזקתן,1
הי,0
נכסי,1
צאן,1
"ברזל,",1
ולם,0
יתבין,0
פי,0
אלתלמוד,0
בחזקת,1
"מי,",1
וכאן,0
אלאנפצאל,0
אנהם,0
יחלוקו.,1
פצח,0
מן,0
ד'לך,0
אן,0
יורשי,1
האשה,1
להם,0
ג'מלהֿ,0
נכסי,1
מלוג,1
ונצף,0
נכסי,1
צאן,1
ברזל,1
פקט.,0
וקד,0
תבין,0
פי,0
אלסאבע,0
מן,0
יבמות,1
ופי,0
עדהֿ,0
מואצ'ע,0
בעדה,0
אי,0
אלנכסים,0
הי,0
אלתי,0
תתסמי,0
נכסי,1
מלוג,1
ואיהא,0
תתסמי,0
נכסי,1
צאן,1
ברזל.,1
