word,is_he
דין,1
שבט,1
הו,0
אן,0
יודח,1
אלשבט,0
כולו,0
פלא,0
יחכם,0
עליה,0
אלא,0
בבית,1
דין,1
הגדול,1
לקולה,0
תעלי,0
והוצאת,1
את,1
האיש,1
ההוא,1
או,1
את,1
האשה,1
וכו',1
אלמפרדין,0
פקט,0
מת'ל,0
איש,1
ואשה,1
הו,0
אלד'י,0
יקתל,0
בשעריך,1
בבית,1
דין,1
של,1
עשרים,1
"ושלשה,",1
אמא,0
ג'מלהֿ,0
אלשבט,0
"פלא,",0
בל,0
בבית,1
דין,1
הגדול.,1
ונביא,1
שקר,1
תעלמנאה,0
מן,0
זקן,1
ממרא,1
"בהקש,",1
לאן,0
ג'א,0
פי,0
נביא,1
שקר,1
דבר,1
הו,0
קולה,0
אך,1
הנביא,1
אשר,1
יזיד,1
לדבר,1
דבר,1
"וכו',",1
ופי,0
זקן,1
ממרא,1
קאל,0
כי,1
יפלא,1
ממך,1
"דבר,",1
פכמא,0
זקן,1
ממרא,1
בבית,1
דין,1
הגדול,1
כמא,0
ג'א,0
אלנץ,0
פיה,0
וקמת,1
ועלית,1
וכו',1
כד'לך,0
נביא,1
השקר.,1
ואמא,0
כהן,1
גדול,1
פמן,0
קולה,0
כל,1
הדבר,1
הגדול,1
יביאו,1
"אליך,",1
יריד,0
בה,0
דבר,1
האיש,1
"הגדול,",1
וליס,0
ענדנא,0
גדול,1
גיר,0
כהן,1
גדול,1
כמא,0
קאל,0
והכהן,1
הגדול.,1
ואמא,0
מלחמת,1
הרשות,1
פתעלמנאהא,0
ממא,0
כאן,0
דוד,1
"יפעל,",0
לאנה,0
ליס,0
כאן,0
יכ'רג',0
למלחמת,1
הרשות,1
אלא,0
חתי,0
יאכ'ד',0
ראי,0
סנהדרי,1
גדולה,1
עלי,0
מא,0
שהר,0
ענדנא,0
מן,0
סירתה,0
עליה,0
אלסלאם.,0
ומלחמת,1
"הרשות,",1
הי,0
מלחמת,1
עמון,1
ומואב,1
וישמעאל,1
ואמת'אלהם.,0
ומלחמת,1
"מצוה,",1
הי,0
מלחמת,1
עמלק,1
ושבעה,1
עממין,1
פקט.,0
ואין,1
מוסיפין,1
על,1
"העיר,",1
אלא,0
יזאד,0
פי,0
ירושלם,1
לאן,0
ירדוא,0
אמאכן,0
הי,0
פי,0
מרתבה,0
מא,0
מן,0
אלתקדיס,0
פי,0
מרתבה,0
אעלי,0
"מנהא,",0
לאן,0
אלעזרות,0
אעט'ם,0
תקדיס,0
מן,0
בקיהֿ,0
"ירושלם,",1
וירושלם,1
אעט'ם,0
תקדיס,0
מן,0
בקיהֿ,0
ארץ',0
אלשאם,0
כמא,0
יבין,0
פי,0
אול,0
"טהרות,",1
ולא,0
ימכן,0
אן,0
תחדת',0
קדושה,1
אלא,1
בבית,1
דין,1
הגדול,1
לקול,0
אללה,0
למשה,1
ככל,1
אשר,1
אני,1
מראה,1
אותך,1
את,1
תבנית,1
המשכן,1
ואת,1
תבנית,1
כל,1
כליו,1
וכן,1
"תעשו,",1
אלאמר,0
לה,0
ולבית,1
"דינו,",1
וסנדראות,1
"לשבטים,",1
אנמא,0
פעלהא,0
משה,1
ובית,1
דינו,1
לקולה,0
ואתה,1
תחזה,1
מכל,1
העם,1
וכו'.,1
ועלהֿ,0
עיר,1
הנדחת,1
ושבט,1
שהודח,1
"ואחדה,",0
לאן,0
לא,0
יקתל,0
בכל,1
שער,1
גיר,0
אלפראד.,0
"וספר,",1
הו,0
אלמוצ'ע,0
אלמג'אור,0
ללעדו,0
תרגום,1
לחוף,1
ימים,1
על,1
ספר,1
ימיא.,1
ועלהֿ,0
ד'לך,0
לאן,0
אן,0
אכ'רבת,0
אטראף,0
אלבלאד,0
דכ'ל,0
מנהא,0
אלגוים,0
ויחריבו,1
ארץ,1
"ישראל,",1
לאן,0
ליס,0
מעני,0
קולה,0
אין,1
עושין,1
אן,0
לא,0
יקתלוא,0
"אהלהא,",0
ואנמא,0
מענאה,0
אן,0
לא,0
יעמל,0
פיהא,0
ג'מלהֿ,0
מצות,1
עיר,1
הנדחת,1
והו,0
קולה,0
והיתה,1
תל,1
עולם.,1
והד'א,0
אלד'י,0
נהי,0
ען,0
אכ'ראב,0
ת'לאת'ה,0
בלאד,0
אנמא,0
ד'לך,0
פי,0
בית,1
דין,1
ואחד,0
ופי,0
מוצ'ע,0
ואחד,0
אעני,0
מתקארבה,0
בעצ'הא,0
מן,0
בעץ'.,0
