word,is_he
"חמיו,",1
אב,0
זוג'תה.,0
"וגיסו,",1
זוג',0
אכ'תהא.,0
"וחתנו,",1
זוג',0
בנתה.,0
פקולה,0
הן,1
ובניהן,1
"וחתניהן,",1
יעני,0
אזואג',0
"בנאתהם,",0
לאן,0
זוג',0
בנת,0
אלשכ'ץ,0
מת'ל,0
בנתה,0
לאן,0
הבעל,1
"כאשתו,",1
פיכון,0
חכם,0
אבן,0
אלשכ'ץ,0
או,1
חתנו,1
פי,0
אלשהאדה,0
"ואחד,",0
והד'א,0
אלד'י,0
קלנא,0
בן,1
גיסו,1
וחתנו,1
אעני,0
חתן,1
גיסו,1
"קרוב,",1
אד'א,0
כאן,0
ד'לך,0
אלולד,0
או,0
אלבנת,0
מאחות,1
"אשתו,",1
אמא,0
בן,1
גיסו,1
וחתנו,1
מאשה,1
אחרת,1
גיר,0
אחות,1
אשתו,1
פהו,0
רחוק,1
ממנו.,1
"וחורגו,",1
הו,0
אבן,0
זוג'תה,0
מן,0
רג'ל,0
גירה,0
הו,0
וחדה,0
"קרוב,",1
אמא,0
בן,1
חורגו,1
וחתן,1
חורגו,1
"פלא,",0
לכן,0
אשת,1
חורגו,1
לא,0
ישהד,0
להא,0
לאנהא,0
מת'ל,0
זוג'הא.,0
ואלאצל,0
אלד'י,0
יבין,0
לך,0
בה,0
אי,0
קרוב,1
יג'וז,0
ואי,0
קרוב,1
לא,0
יג'וז,0
פי,0
אלשהאדה,0
הו,0
מא,0
אצף,0
"לך,",0
וד'לך,0
אן,0
אלאשכ'אץ,0
אלמנבעת'ין,0
מן,0
אצל,0
ואחד,0
אנבעאת'א,0
אולא,0
והם,0
אלאכ'וה,0
יסמון,0
ראשון,1
בראשון,1
פלא,0
תג'וז,0
שהאדתהם,0
בעצ'הם,0
עלי,0
בעץ'.,0
ואלטבקה,0
אלת'אניה,0
והי,0
כאולאד,0
אלעם,0
בעצ'הם,0
מע,0
"בעץ',",0
או,0
אולאד,0
אלכ'אלה,0
בעצ'הם,0
מע,0
"בעץ',",0
או,0
אולאד,0
אלכ'אל,0
מע,0
אולאד,0
אלעמה,0
בעצ'הם,0
מע,0
בעץ',0
יסמון,0
שני,1
בשני,1
פלא,0
תג'וז,0
איצ'א,0
שהאדתהם,0
בעצ'הם,0
מע,0
בעץ'.,0
ואלטבקה,0
אלת'אלת'ה,0
והם,0
אולאד,0
אולאד,0
אלשכ'ץ,0
מע,0
אולאד,0
אולאד,0
אכ'יה,0
או,0
אכ'תה,0
יסמון,0
שלישי,1
"בשלישי,",1
ותג'וז,0
שהאדתהם,0
בעצ'הם,0
עלי,0
בעץ'.,0
ויג'וז,0
איצ'א,0
שהאדהֿ,0
שלישי,1
בראשון,1
כשהאדהֿ,0
אלעם,0
עלי,0
אבן,0
אבן,0
אכ'יה,0
או,0
"מעה,",0
וכד'לך,0
שהאדהֿ,0
אבן,0
אבן,0
אכ'יה,0
"עליה,",0
ובאלאחרי,0
ואלאג'דר,0
אן,0
תכון,0
שהאדהֿ,0
שלישי,1
בשני,1
ג'איזה.,0
ואקם,0
אלרג'ל,0
מקאם,0
זוג'תה,0
וזוג'תה,0
מקאמה,0
למעני,0
"אלשהאדה,",0
מת'אל,0
ד'לך,0
אן,0
אלאנסאן,0
מע,0
זוג',0
אכ'תה,0
ראשון,1
בראשון,1
לאן,0
הבעל,1
"כאשתו,",1
וכד'לך,0
הו,0
מע,0
זוג'הֿ,0
אכ'יה,0
ראשון,1
בראשון,1
לאן,0
האשה,1
כבעלה.,1
ואלאב,0
ואבנה,0
המא,0
ראשון,1
"בראשון,",1
ואלד'י,0
אוג'ב,0
אן,0
לא,0
יעדה,0
פי,0
אלמשנה,0
ויקול,0
אביו,1
לאנה,0
נץ.,0
ולא,0
תעלק,0
לתחרים,0
שהאדהֿ,0
אלקראבה,0
אלא,0
מן,0
תחרים,0
אללה,0
אן,0
ישהד,0
אלאב,0
עלי,0
אבנה,0
או,0
אבנה,0
עליה,0
פי,0
קולה,0
לא,1
יומתו,1
אבות,1
על,1
בנים,1
וכו',1
אי,0
לא,0
יקתלון,0
בקולהם.,0
וקולה,0
וכל,1
הראוי,1
לו,1
"לירושה,",1
ליס,0
הו,0
מן,0
כלאם,0
משנה,1
ראשונה,1
ואנמא,0
הו,0
תמאם,0
משנת,1
ר',1
עקיבה.,1
וקרוב,1
"ונתרחק,",1
הו,0
אן,0
תמות,0
זוג'תה,0
או,0
יטלקהא,0
אלתי,0
קרבת,0
בינה,0
ובין,0
טבקה,0
אכ'רי.,0
ואין,1
הלכה,1
כמשנה,1
ראשונה.,1
ולא,1
כר',1
יהודה.,1
