word,is_he
כנאיתהם,0
ען,0
שער,0
אלעאנה,0
בזקן,0
הי,0
לשון,1
נקיה.,1
וקד,0
תעלם,0
אן,0
הד'ה,0
אלהבאת,0
שתי,1
שערות,1
אנמא,0
הי,0
בעד,0
שלש,1
עשרה,1
שנה,1
ויום,1
"אחד,",1
ומא,0
כאן,0
אקל,0
מן,0
הד'א,0
אלסן,0
יתסמי,0
קטן,1
וליס,0
אלשתי,0
שערות,1
פיה,0
סימן,1
ואנמא,0
הי,0
"שומא,",1
וקד,0
בינא,0
הד'א,0
אלמעני,0
מראת,0
פי,0
יבמות.,1
ומתי,0
מא,0
תם,0
ת'לאת'ה,0
אשהר,0
בעד,0
הבאת,1
שתי,1
שערות,1
אינו,1
נעשה,1
בן,1
סורר,1
ומורה,1
ולו,0
לם,0
יקיף,1
זקן,1
התחתון,1
לקול,0
אללה,0
בן,1
ולא,1
"אב,",1
ובעד,0
ת'לאת'ה,0
אשהר,0
ימכן,0
אן,0
יכון,0
לה,0
"ולד,",0
לאנה,0
מנד',0
יביא,1
שתי,1
שערות,1
ימכן,0
אן,0
תחבל,0
מנה,0
אלמראה,0
ולת'לאת'ה,0
אשהר,0
ישתהר,0
"חמלהא,",0
פלכונה,0
פי,0
הד'ה,0
אלמדה,0
ימכן,0
אן,0
יכון,0
אב,1
לא,1
יעשה,1
בן,1
סורר,1
"ומורה,",1
וכד'לך,0
מתי,0
הקיף,1
זקן,1
התחתון,1
קד,0
חכם,0
נפסה,0
ואינו,1
נעשה,1
בן,1
סורר,1
ומורה,1
ולו,0
הקיף,0
פי,0
את'ר,0
הבאת,1
שתי,1
שערות.,1
