word,is_he
קולה,0
מה,1
הוא,1
לילך,1
"לשם,",1
אן,0
יג'עלהא,0
טריק,0
לימשי,0
מנהא,0
"לגירהא,",0
לאן,0
לא,0
יחל,0
בוג'ה,0
דכ'ול,0
מדינה,0
יכון,0
פיהא,0
עבודה,1
"זרה,",1
פנאהיך,0
ען,0
"סכנאהא,",0
פנאהיך,0
ען,0
אלתג'ר,0
פיהא.,0
וחניות,1
"מעוטרות,",1
אלחואנת,0
אלמזינה,0
באי,0
נוע,0
מן,0
אלזינה,0
פהי,0
אנמא,0
זינת,0
לעבודה,1
"זרה,",1
ולד'לך,0
כל,0
מא,0
פיהא,0
אסור,1
"בהניה,",1
ולד'לך,0
יעלם,0
אן,0
כל,0
בלד,0
מן,0
בלאד,0
אלמלה,0
אלנצראניה,0
יכון,0
להם,0
פיה,0
במה,0
אעני,0
בית,0
מצלאהם,0
אלד'י,0
הו,0
בית,1
עבודה,1
זרה,1
בלא,0
"שך,",0
פאן,0
ד'לך,0
אלבלד,0
לא,0
יג'וז,0
אלעבור,0
עליה,0
באלקצד,0
פכיף,0
סכנאה.,0
לכן,0
אללה,0
תלנא,0
באידיהם,0
חתי,0
נסכן,0
בלאדהם,0
באלקהר,0
לית'בת,0
ועידה,0
ועבדתם,1
שם,1
אלהים,1
מעשה,1
ידי,1
אדם,1
עץ,1
ואבן.,1
ואד'א,0
כאן,0
הד'א,0
חכם,0
אלבלד,0
נאהיך,0
ען,0
חכם,0
בית,1
עבודה,1
זרה,1
נפסה,0
לאנה,0
יחרם,0
נט'רה,0
"יכאד,",0
פכיף,0
אלקרב,0
"מנה,",0
פכיף,0
דכ'ולה.,0
