word,is_he
מע,0
כונה,0
כונס,1
לתוך,1
"שלו,",1
לכנה,0
לא,0
יתרך,0
ד'לך,0
אלפצ'א,0
לעבודה,1
זרה,1
לאנה,0
"ינפעהא,",0
בל,0
יעמרהא,0
באמור,0
קד'רה,0
או,0
ימלאה,0
שוך,0
ונחוה.,0
ואעלם,0
אן,0
טומאת,1
עבודה,1
זרה,1
"דרבנן,",1
פלד'לך,0
יאכ'ד'ון,0
פיהא,0
באלתכ'פיף,0
מן,0
כל,0
"וג'ה,",0
פיקולון,0
אנהא,0
שבהת,0
באלשרץ,0
לתנג'ס,0
במגע,1
לא,1
במשא,1
"כשרץ,",1
ושבהת,0
באלנדה,0
לאנהא,0
אינה,1
מטמאה,1
אברים,1
כאלנדה,0
אלתי,0
לא,0
ינג'ס,0
ידהא,0
או,0
רג'להא,0
אן,0
קטעת,0
משום,1
"נדה,",1
ושבהת,0
באלמת,0
אנהא,0
לא,1
תטמא,1
אלא,1
כזית,1
לא,0
אקל,0
מן,0
ד'לך.,0
ואין,1
הלכה,1
כר',1
עקיבה,1
ולו,0
פי,0
עבודה,1
זרה,1
נפסהא,0
פכיף,0
משמשיה.,1
