word,is_he
אלפצל,0
אלת'אלת',0
פי,0
אמראץ',0
אלנפס,0
קאל,0
אלאקדמון,0
אן,0
לאלנפס,0
צחה,0
ומרץ',0
כמא,0
לאלבדן,0
צחה,0
ומרץ'.,0
פצחהֿ,0
אלנפס,0
אן,0
תכון,0
היאתהא,0
והיאת,0
אג'זאיהא,0
היאה,0
תפעל,0
בהא,0
אבדא,0
אלכ'יראת,0
ואלחסנאת,0
ואלאפעאל,0
"אלג'מילה,",0
ומרצ'הא,0
אן,0
תכון,0
היאתהא,0
והיאת,0
אג'זאיהא,0
היאה,0
תפעל,0
בהא,0
אבדא,0
אלשרור,0
ואלסיאת,0
ואלאפעאל,0
אלקביחה.,0
אמא,0
צחהֿ,0
אלג'סם,0
ומרצ'ה,0
פצנאעהֿ,0
אלטב,0
תבחת',0
ען,0
"ד'לך,",0
וכמא,0
אן,0
אצחאב,0
מרץ',0
אלאבדאן,0
יכ'יל,0
להם,0
פסאד,0
חסהם,0
פי,0
מא,0
חלי,0
אנה,0
"מר,",0
ופי,0
מא,0
הו,0
מר,0
אנה,0
"חלו,",0
פיתצורון,0
אלמלאים,0
בצורהֿ,0
גיר,0
"מלאים,",0
ותשתד,0
שהותהם,0
ותעט'ם,0
לד'אתהם,0
באמור,0
לא,0
לד'ה,0
פיהא,0
בוג'ה,0
ענד,0
"אלאצחא,",0
בל,0
קד,0
רב,0
מא,0
כאן,0
פיהא,0
"אלם,",0
מת'ל,0
אכל,0
אלטפל,0
ואלפחם,0
ואלתראב,0
ואלאמור,0
אלשדידהֿ,0
אלעפוצה,0
ואלשדידהֿ,0
אלחמצ'ה,0
ונחו,0
הד'א,0
מן,0
אלאטעמה,0
אלתי,0
לא,0
ישתהיהא,0
אלאצחא,0
בל,0
יכרהוהא.,0
כד'לך,0
אלמרצ'א,0
אלאנפס,0
אעני,0
אלאשראר,0
וד'וי,0
אלנקאיץ,0
יכ'יל,0
להם,0
פי,0
מא,0
הי,0
שרור,0
אנהא,0
"כ'יראת,",0
ופי,0
מא,0
הי,0
כ'יראת,0
אנהא,0
שרור.,0
ואלשריר,0
יהוי,0
אבדא,0
אלגאיאת,0
אלתי,0
הי,0
פי,0
אלחקיקה,0
"שרור,",0
ויתכ'ילהא,0
לאג'ל,0
מרץ,0
נפסה,0
כ'יראת.,0
וכמא,0
אן,0
אלמרצ'א,0
למא,0
עלמוא,0
מרצ'הם,0
ולם,0
יחסנון,0
צנאעהֿ,0
אלטב,0
סאלוא,0
אלאטבא,0
פערפוהם,0
במא,0
ינבגי,0
אן,0
"יעמלוא,",0
ונהוהם,0
ען,0
מא,0
יתכ'ילוה,0
"לד'יד',",0
וג'ברוהם,0
עלי,0
תנאול,0
אלאמור,0
אלכריהה,0
אלמרה,0
אלתי,0
תצח,0
אג'סאמהם,0
פירג'עוא,0
לאסתיטאב,0
אלטיב,0
וכראהיהֿ,0
"אלכריה,",0
כד'לך,0
אלמרצ'א,0
אלאנפס,0
ינבגי,0
להם,0
אן,0
יסאלוא,0
אלעלמא,0
אלד'ין,0
הם,0
אטבא,0
"אלאנפס,",0
פינהונהם,0
ען,0
תלך,0
אלשרור,0
אלתי,0
יט'נונהא,0
"כ'יראת,",0
ויטבונהם,0
באלצנאעה,0
אלתי,0
תטב,0
בהא,0
אכ'לאק,0
אלנפס,0
אלתי,0
נבינהא,0
פי,0
אלפצל,0
אלד'י,0
בעד,0
הד'א.,0
אמא,0
אלמרצ'א,0
אלאנפס,0
אלד'ין,0
לא,0
ישערון,0
במרצ'הם,0
ויתכ'ילונה,0
"צחה,",0
או,0
ישערון,0
בה,0
ולא,0
"יתטבבון,",0
פמאלהם,0
למא,0
יכון,0
מאל,0
אלמריץ',0
אד'א,0
תבע,0
לד'אתה,0
ולא,0
יתטבב,0
פהו,0
יהלך,0
בלא,0
שך.,0
אמא,0
אלד'ין,0
ישערון,0
ויתבעון,0
לד'אתהם,0
קאל,0
אלכתאב,0
אלחק,0
פיהם,0
ואצף,0
ען,0
קולהם,0
כי,1
בשרירות,1
לבי,1
אלך,1
"וכו',",1
יעני,0
אנה,0
יקצד,0
אן,0
ירוי,0
עטשה,0
והו,0
יזיד,0
נפסה,0
עטש.,0
ואמא,0
אלד'ין,0
לא,0
ישערון,0
פוצפהם,0
שלמה,1
כת'יר,0
קאל,0
דרך,1
אויל,1
ישר,1
בעיניו,1
ושמע,1
לעצה,1
"חכם,",1
יעני,0
אלד'י,0
יאכ'ד',0
ראי,0
אלעאלם,0
פיערפה,0
אלטריק,0
אלד'י,0
יט'נה,0
הו,0
ישר,1
פי,0
"אלחקיקה,",0
לא,0
אלד'י,0
יט'נה,0
הו,0
ישר.,1
וקאל,0
יש,1
דרך,1
ישר,1
לפני,1
איש,1
ואחריתה,1
דרכי,1
מות.,1
וקאל,0
פי,0
הואלא,0
אלמרצ'א,0
אלאנפס,0
פי,0
כונהם,0
לא,0
יעלמוא,0
מא,0
יצ'רהם,0
ולא,0
מא,0
ינפעהם,0
דרך,1
רשעים,1
כאפלה,1
לא,1
ידעו,1
במה,1
יכשלו.,1
אמא,0
צנאעהֿ,0
טב,0
אלאנפס,0
פהי,0
כמא,0
אצף,0
פי,0
הד'א,0
אלפצל,0
אלראבע.,0
