word,is_he
אלפצל,0
אלכ'אמס,0
פי,0
תצריף,0
קוי,0
אלנפס,0
נחו,0
גאיה,0
ואחדה,0
ינבגי,0
לאלאנסאן,0
אן,0
יסתכ'דם,0
קוי,0
נפסה,0
כלהא,0
בחסב,0
אלראי,0
עלי,0
מא,0
קדמנא,0
פי,0
אלפצל,0
אלד'י,0
קבל,0
"הד'א,",0
ויג'על,0
חד'א,0
עיניה,0
גאיה,0
ואחדה,0
והי,0
אדראך,0
אללה,0
עז,0
וג'ל,0
חסב,0
טאקהֿ,0
אלאנסאן,0
אעני,0
אלעלם,0
בה.,0
ויג'על,0
אפעאלה,0
כלהא,0
חרכאתה,0
וסכנאתה,0
וג'מיע,0
אקאוילה,0
מודיה,0
נחו,0
הד'ה,0
"אלגאיה,",0
חתי,0
לא,0
יכון,0
פי,0
אפעאלה,0
שי,0
מן,0
פעל,0
אלעבת',0
"בוג'ה,",0
אעני,0
פעל,0
לא,0
יודי,0
אלי,0
הד'ה,0
אלגאיה.,0
מת'ל,0
ד'לך,0
אן,0
יג'על,0
אלקצד,0
באכלה,0
ושרבה,0
ונומה,0
ונכאחה,0
ויקט'תה,0
וחרכתה,0
וסכונה,0
צחהֿ,0
ג'סמה,0
פקט,0
ואלגרץ',0
בצחהֿ,0
ג'סמה,0
אן,0
תג'ד,0
אלנפס,0
אלתהא,0
צחיחה,0
סאלמה,0
פתתצרף,0
פי,0
אלעלום,0
ואכתסאב,0
אלפצ'איל,0
אלכ'לקיה,0
ואלנטקיה,0
חתי,0
יצל,0
אלי,0
תלך,0
אלגאיה.,0
פעלי,0
הד'א,0
אלקיאס,0
ליס,0
יקצד,0
חיניד',0
אללד'ה,0
פקט,0
חתי,0
יתכ'יר,0
פי,0
אלטעאם,0
ואלשראב,0
"אלאלד',",0
וכד'לך,0
פי,0
סאיר,0
"אלתדביר,",0
בל,0
יקצד,0
"אלאנפע,",0
פאן,0
אתפק,0
אן,0
יכון,0
לד'יד',0
"כאן,",0
ואן,0
אתפק,0
אן,0
יכון,0
כריה,0
"כאן,",0
או,0
יקצד,0
אלאלד',0
בחסב,0
אלנט'ר,0
"אלטבי,",0
מת'ל,0
אן,0
תסקט,0
שהותה,0
לאלטעאם,0
פינבההא,0
באלאטעמה,0
אלשהיה,0
אללד'יד'ה,0
אלמסתטיבה.,0
וכד'לך,0
אן,0
ת'אר,0
עליה,0
כ'לט,0
סודאוי,0
אזאלה,0
בסמאע,0
אלאגאני,0
ואנואע,0
"אלאיקאעאת,",0
ואלנזה,0
פי,0
אלבסאתין,0
ואלמבאני,0
"אלחסאן,",0
ומג'אלסהֿ,0
אלצור,0
"אלחסנה,",0
ונחו,0
הד'א,0
ממא,0
יבסט,0
אלנפט,0
ויזיל,0
וסוסהֿ,0
אלסודא,0
"ענהא,",0
ויקצד,0
בד'לך,0
