word,is_he
למא,0
אן,0
קדם,0
פי,0
אלהלכה,0
אלתי,0
קבל,0
הד'ה,0
אן,0
אד'א,0
הקריב,1
בחוץ,1
מחוסר,1
זמן,1
לא,0
ילזמה,0
כרת,1
בין,0
וקאל,0
אנה,0
לא,0
פרק,0
בין,0
כונה,0
מחוסר,1
זמן,1
בגופו,1
כמא,0
בינא,0
והו,0
אן,0
יכון,0
לם,0
יכמל,0
לה,0
סבעה,0
"איאם,",0
או,0
כונה,0
מחוסר,1
זמן,1
בבעלים,1
והו,0
אן,0
יכון,0
בעליו,0
לם,0
יצלח,0
להם,0
ד'לך,0
"אלקרבן,",0
ת'ם,0
בין,0
כיף,0
הו,0
מחוסר,1
זמן,1
בבעלים,1
פקאל,0
הזב,1
והזבה,1
והיולדת,1
והמצורע.,1
וקאלוא,0
פי,0
אלתלמוד,0
תני,1
נזיר,1
"בהדיהו,",1
וד'לך,0
צ'רורי,0
כמא,0
יבין,0
אלאן.,0
וממא,0
בינאה,0
פי,0
צדר,0
הד'ה,0
אלמסכתא,0
תעלם,0
אן,0
האולא,0
אלאשכ'אץ,0
פי,0
קראבנהם,0
חטאת,1
"ועולה,",1
ואלמצורע,0
וחדה,0
פי,0
קראבנה,0
"אשם,",1
ואלנזיר,0
וחדה,0
פי,0
קראבנה,0
שלמים.,1
פקולה,0
אשמן,1
יעני,0
בה,0
מחוייב,1
אשם,1
מהן,1
והו,0
אלמצורע.,0
ואנמא,0
צארוא,0
פטורין,0
אד'א,0
הקריבו,1
חטאתן,1
בתוך,1
ימי,1
ספירתן,1
ואלנזיר,0
בתוך,1
ימי,1
נזירותו,1
לאנהם,0
פי,0
חאל,0
אלנג'אסה,0
או,0
"אלאבעאד,",0
ולא,0
יצירון,0
ראוין,1
לקרבן,1
חתי,0
תתם,0
איאם,0
"אלספירה,",0
אמא,0
אלעולה,0
פהי,0
דורון,0
ולו,0
קרבת,0
בתוך,0
ימי,0
הספירה.,0
וכד'לך,0
לו,0
קרב,0
אלשלמים,0
בתוך,1
ימי,1
נזירות,1
"חייב,",1
לאן,0
עיקר,1
הכפרה,1
אלד'י,0
לא,0
יצח,0
אלא,0
בעד,0
תמאם,0
אלמדד,0
אלמחדודה,0
הו,0
אלחטאת,0
ואלאשם.,0
ומעלום,0
אן,0
בשר,1
חטאת,1
ואשם,1
ובשר,1
קדשי,1
קדשים,1
אעני,0
שלמי,1
זבחי,1
צבור,1
ובשר,1
קדשים,1
קלים,1
ומותר,1
העומר,1
ושתי,1
הלחם,1
ולחם,1
הפנים,1
ושירי,1
מנחות,1
כלהא,0
תאכל,0
ולא,1
תקרב,1
לגבי,1
המזבח,1
ואללה,0
יקול,0
פי,0
מעלה,1
בחוץ,1
אשר,1
יעלה,1
"עולה,",1
וקאלוא,0
מה,1
עולה,1
שראויה,1
להעלאה,1
אף,1
כל,1
שראוי,1
להעלאה.,1
ויוצק,1
הו,0
אלד'י,0
יצב,0
אלזית,0
עלי,0
אלמנחות,0
והו,0
קולה,0
ויצקת,1
עליה,1
שמן.,1
ובולל,1
יריד,0
בה,0
לת,0
אלסמד,0
באלזית,0
והו,0
קולה,0
בלולה,1
בשמן.,1
ופותת,1
תפתית,0
כ'בז,0
אלמנחות,0
והו,0
קולה,0
פתות,1
אותה,1
פתים.,1
ומולח,1
רמי,0
אלמלח,0
עלי,0
אלמנחה,0
קאל,0
על,1
כל,1
קרבנך,1
תקריב,1
מלח.,1
ומניף,1
קולה,0
והניף,1
אותם.,1
ומגיש,1
קולה,0
והגישה.,1
וסתבין,0
אלאשיא,0
אלתי,0
תחתאג',0
תנופה,0
ואלאשיא,0
אלתי,0
תחתאג',0
הגשה,0
פי,0
כ'אמס,0
מנחות.,1
ומסדר,1
את,1
השלחן,1
תצפיף,0
לחם,1
הפנים,1
עלי,0
אלשלחן.,0
ואסתדלוא,0
עלי,0
כון,0
פאעל,0
שי,0
מן,0
הד'ה,0
אלאפעאל,0
בחוץ,0
לא,0
ילזמה,0
כרת,1
מן,0
קולה,0
פי,0
מעלה,1
בחוץ,1
אשר,1
יעלה,1
"עולה,",1
קאלוא,0
מה,1
העלאה,1
שהיא,1
גמר,1
"עבודה,",1
אף,1
כל,1
שהיא,1
גמר,1
"עבודה,",1
והד'ה,0
כלהא,0
ליס,0
מנהא,0
ולא,0
ואחדה,0
הי,0
גמר,1
"עבודה,",1
ואד'א,0
תצחפתהא,0
באן,0
ד'לך.,0
ומן,0
הד'ה,0
אלעלה,0
איצ'א,0
קאלוא,0
אין,1
חייבין,1
עליהן,1
לא,1
משום,1
זרות,1
וכו',1
יעני,0
אן,0
אד'א,0
פעל,0
שי,0
מנהא,0
אעני,0
אחדי,0
הד'ה,0
אלעבודות,0
זר,1
או,1
טמא,1
או,1
מחוסר,1
בגדים,1
או,1
שלא,1
רחוץ,1
ידים,1
ורגלים,1
פלא,0
תלזמה,0
מיתה,0
ועלי,0
אנה,0
יפסול,0
ד'לך,0
אלשי.,0
וקד,0
בינא,0
פי,0
אלפרק,0
אלתאסע,0
מן,0
סנהדרין,1
אן,0
זר,1
וטמא,1
ומחוסר,1
בגדים,1
ושלא,1
רחוץ,1
ידים,1
אד'א,0
שמשו,1
במקדש,1
לזמהם,0
מיתה,1
בידי,1
"שמים,",1
וד'כרנא,0
דליל,0
כל,0
ואחד,0
"מנהם,",0
ותבין,0
הנא,0
אן,0
ליס,0
ד'לך,0
אי,0
שמוש,0
"כאן,",0
בל,0
אן,0
יעבוד,1
עבודה,1
גמורה,1
וחיניד',0
תלזמה,0
מיתה,1
בידי,1
"שמים,",1
אמא,0
הד'ה,0
אלמד'כורה,0
פלא,0
מיתה,0
פיהא.,0
וקד,0
תבין,0
פי,0
גמר,0
יומא,1
אלאשיא,0
אלתי,0
ילזם,0
עליהא,0
מיתה,0
וקאלוא,0
ארבע,1
עבודות,1
זר,1
חייב,1
עליהן,1
מיתה,1
ואלו,1
הן,1
זריקה,1
והקטר,1
ונסוך,1
היין,1
ונסוך,1
המים.,1
וידכ'ל,0
תחת,0
קולה,0
זריקה,0
אלהזאות,0
כלהא,0
בין,1
בפנים,1
בין,1
בחוץ.,1
וכד'לך,0
זר,1
שסדר,1
שני,1
גזרי,1
עצים,1
חייב,1
והי,0
אלתי,0
תקרב,0
מע,0
תמידין,1
של,1
כל,1
יום,1
כמא,0
בינא,0
פי,0
ת'אני,0
"יומא,",1
לאנהא,0
תג'רי,0
מג'רי,0
אלהקטר.,0
