word,is_he
קד,0
עלמת,0
נץ,0
אלתורה,0
פי,0
אלפסח,0
בין,1
"הערבים,",1
וקד,0
אעלמתך,0
אן,0
פסח,1
ששחטו,1
בלא,1
זמנו,1
שלא,1
לשמו,1
כשר.,1
פיקול,0
ר',1
יהושע,1
אן,0
זמנו,0
למעני,0
שלא,1
לשמו,1
הוא,1
זמן,1
שחיטה,1
בין,1
"הערבים,",1
אמא,0
קבל,0
ד'לך,0
אד'א,0
ד'בחה,0
פי,0
אול,0
אלנהאר,0
כלא.,0
ובן,1
בתירה,1
יקול,0
יום,1
ארבעה,1
עשר,1
מקצתו,1
ראוי,1
פלד'לך,0
מתי,0
מא,0
ד'בחה,0
שלא,1
לשמו,1
פי,0
יום,1
ארבעה,1
עשר,1
פסול,1
ולו,0
גדוהֿ,0
אלנהאר.,0
וקד,0
עלמת,0
אן,0
אלעולה,0
כליל,1
לאשים,1
כמא,0
בינא,0
פי,0
צדר,0
כלאמנא.,0
ואין,1
הלכה,1
כבן,1
עזאי.,1
והלכה,1
כבן,1
בתירה.,1
