word,is_he
קאל,0
אללה,0
ושחט,1
את,1
בן,1
הבקר,1
לפני,1
ה',1
והקריבו,1
בני,1
"אהרן,",1
פלם,0
ישתרט,0
פי,0
אלד'בח,0
בבני,1
"אהרן,",1
בל,0
יד'בח,0
כל,0
מן,0
"ד'בח,",0
ומן,0
אכ'ד',0
אלדם,0
יחתאג',0
אלכהן,0
כמא,0
ד'כרנא,0
מן,0
קולהם,0
מקבלה,1
ואילך,1
מצות,1
כהונה.,1
פלכון,0
האולא,0
אלפסולים,0
אהלא,0
ללד'בח,0
פוסלין,1
במחשבה,1
אעני,0
אד'א,0
שחטו,1
שלא,1
לשמו,1
או,1
חוץ,1
לזמנו,1
או,1
חוץ,1
למקומו,1
עלי,0
מא,0
תקדם.,0
ואעלם,0
אן,0
ג'איז,0
לכתחלה,1
לזר,1
ולאשה,1
ולעבד,1
אן,0
יד'בחוא,0
אלקדשים.,0
ואמא,0
קולה,0
הנא,0
ששחטו,1
אלד'י,0
ידל,0
אן,0
לכתחלה,1
לא,1
ישחוט,1
פהו,0
עלי,0
אלטמא,0
"וחדה,",0
אן,0
אלטמא,0
לכתחלה,1
לא,1
ישחוט,1
גזרה,1
שמא,1
יגע,1
בבשר.,1
ולא,0
ימתנע,0
ענדך,0
כון,0
אלטמא,0
יד'בח,0
אלקדשים,0
לכון,0
שחיטת,1
קדשים,1
בעזרה,1
צ'רורה,0
כמא,0
קדמנא,0
ואלטמא,0
לא,0
יג'וז,0
לה,0
דכ'ול,0
אלעזרה,0
כמה,0
בינא,0
פי,0
"שבועות,",1
לאן,0
הד'א,0
ימכן,0
באן,0
יכון,0
אלסכין,0
טויל,0
ויד'בח,0
והו,0
כ'ארג',0
"אלעזרה,",0
או,0
אד'א,0
שגג,0
ודכ'ל,0
"אלעזרה,",0
או,0
אן,0
תעדי,0
איצ'א.,0
וקד,0
תקדם,0
לך,0
פי,0
אלפרק,0
אלת'אני,0
מן,0
הד'ה,0
אלמסכתא,0
אן,0
כל,1
הזבחים,1
שקבל,1
דמן,1
זר,1
אונן,1
וכו',1
"פסל,",1
הד'א,0
אד'א,0
קבל,1
דם,1
הזבח,1
לשמו.,1
וכד'לך,0
קולה,0
פי,0
מא,0
תקדם,0
אן,0
אד'א,0
קבל,1
המקבל,1
והו,0
ינוי,0
חוץ,1
למקומו,1
פסול,1
וחוץ,1
לזמנו,1
פגול,1
בשרט,0
אן,0
יכון,0
אלמקבל,0
אלד'י,0
אפסד,0
אלמחשבה,0
יצלח,0
"לקבלה,",0
אמא,0
האולא,0
אלפסולין,0
אלד'ין,0
לא,0
יצלחון,0
ללקבלה,0
אד'א,0
אפסדו,0
אלמחשבה,0
ענד,0
אלקבלה,0
לם,0
יפסד,0
"אלקרבן,",0
בל,0
אן,0
בקי,0
שי,0
מן,0
דם,1
הנפש,1
יחזור,1
הכשר,1
ויקבל,1
במחשבה,1
"כשרה,",1
לאן,0
לא,0
יפסד,0
אלקרבן,0
באלמחשבה,0
ענד,0
עבודה,0
מן,0
אלעבודות,0
אלא,0
מן,0
יצלח,0
אן,0
עמל,0
תלך,0
אלעבודה,0
הו,0
אלד'י,0
תפיד,0
"מחשבתו,",0
חתי,0
לא,0
יכון,0
אלפסאד,0
מן,0
קבלה,0
אלא,0
מן,0
קבל,0
מחשבתו,0
עלי,0
נחו,0
מא,0
אשתרטנא,0
פי,0
אלפגול,0
שיקרב,1
המתיר,1
"כמצותו,",1
פחצ'ל,0
הד'א,0
אלאצל,0
איצ'א.,0
