word,is_he
מעני,0
מתיר,1
"במדינה,",1
אנה,0
יחלל,0
אכל,0
אלשי,0
אלד'י,0
יג'וז,0
אכלה,0
פי,0
סאיר,0
אלבלאד,0
והו,0
"אלחדש,",0
וד'לך,0
נץ,0
אלתורה,0
כמא,0
קדמנא.,0
ומעני,0
קולה,0
ושתי,1
הלחם,1
"במקדש,",1
אנהא,0
תביח,0
אן,0
יג'אב,0
מן,1
החדש,1
אלאשיא,0
אלתי,0
תג'אב,0
"ללמקדש,",0
וד'לך,0
אן,0
בעד,0
הקרבת,1
שתי,1
הלחם,1
יג'וז,0
לה,0
אן,0
יג'יב,0
אי,0
נוע,0
אראד,0
מן,0
אלמנחות,0
מן,1
"החדש,",1
אמא,0
קבל,0
שתי,1
הלחם,1
פלא,0
יג'וז,0
לה,0
אן,0
יג'יב,0
מנחה,1
מן,1
החדש,1
לכתחלה,1
וד'לך,0
לקולה,0
תעלי,0
פי,0
שתי,1
הלחם,1
והקרבתם,1
מנחה,1
חדשה.,1
ואנמא,0
קלנא,0
אנה,0
אן,0
תעדי,0
וג'אב,0
קודם,1
לעומר,1
לא,1
יצא,1
וקודם,1
לשתי,1
הלחם,1
"יצא,",1
לאן,0
לא,0
חל,0
אלחצאד,0
לאחד,0
קבל,0
אן,0
יחצד,0
אלעומר,0
כמא,0
יבין,0
"אלאן,",0
ומן,0
בעד,0
קצירת,1
העומר,1
יחל,0
אלחצאד,0
לסאיר,0
אלנאס,0
כל,0
מא,0
אראדוא.,0
