word,is_he
ר',1
אליעזר,1
יעתקד,0
אן,0
ולו,0
עדמת,0
אלשירים,0
יקטיר,1
הקומץ.,1
ור',1
יהושע,1
יקול,0
חתי,0
תבקי,0
מן,0
אלשירים,0
בקיהֿ,0
וחיניד',0
יקטיר,1
"הקומץ,",1
אמא,0
אן,0
עדם,0
כלה,0
פהי,0
"פסולה,",1
ואן,0
עדם,0
בעץ',0
אלשירים,0
או,0
אנתג'ס,0
אלבעץ',0
ולו,0
ר',1
יהושע,1
יקול,0
יקטיר,1
"הקומץ,",1
פלד'לך,0
תכון,0
כשרה.,1
ור',1
שמעון,1
יקול,0
אנהא,0
כשרה,1
ולו,0
כאנת,0
אלמנחה,0
בג'מלתהא,0
פי,0
גיר,0
כלי,1
שרת,1
ולו,0
ג'על,0
אלקומץ,0
פי,0
גיר,0
כלי,1
"שרת,",1
יתעלם,0
ד'לך,0
מן,0
קולה,0
פי,0
אלמנחה,0
כחטאת,1
כאשם,1
יעני,0
כמא,0
תנאול,0
שגל,0
אלחטאת,0
בידה,0
דון,0
כלי,0
אעני,0
הקטרת,1
אמורין,1
כד'לך,0
איצ'א,0
הקטרת,1
הקומץ.,1
ואין,1
הלכה,1
כר',1
שמעון.,1
והלכה,1
כר',1
יהושע.,1
