word,is_he
"לישה,",1
הו,0
כ'לט,0
אלדקיק,0
באלמא.,0
"ועריכה,",1
ערכה,0
ותרדידה,0
בין,0
אלאידי.,0
וקאל,0
אללה,0
פי,0
אלמנחה,0
לא,1
תאפה,1
"חמץ,",1
וקד,0
כאן,0
תקדם,0
קולה,0
לא,1
תעשה,1
"חמץ,",1
פקאלוא,0
פי,0
תכ'ציצה,0
אלנהי,0
ען,0
אלכ'בז,0
מה,1
אפיה,1
מיוחדת,1
שהיא,1
מעשה,1
יחידי,1
וחייבין,1
עליה,1
בפני,1
עצמה,1
אף,1
אני,1
אביא,1
לישתה,1
ועריכתה,1
וכל,1
מעשה,1
יחידי,1
שבה,1
לאיתויי,1
קטוף,1
והו,0
אלתקריץ,0
אנה,0
חייב,0
עלי,0
כל,0
פעל,0
ופעל,0
עלי,0
אלאנפראד.,0
וקאלוא,0
איצ'א,0
לא,1
תאפה,1
חמץ,1
"חלקם,",1
אפילו,1
חלקם,1
לא,1
יאפה,1
"חמץ,",1
יעני,0
אלשירים,0
אלתי,0
הי,0
ללכהנים,0
כמא,0
בינא,0
פאנהא,0
איצ'א,0
יחרם,0
תכ'מירהא,0
לכן,0
יחל,0
עג'ן,0
אלשירים,0
באלעסל,0
וטבכ'הא,0
"בה,",0
אנמא,0
יחרם,0
אלתכ'מיר,0
פקט.,0
