word,is_he
"גרגר,",0
הי,0
אלחבה,0
אלמפרדה,0
וקד,0
תקדם,0
שרח,0
ד'לך,0
פי,0
זרעים.,0
ומעני,0
מגרגרו,1
בראש,1
"הזית,",1
אן,0
ילתקטה,0
מן,0
אלשג'רה,0
חבה,0
חבה,0
חתי,0
יכון,0
כלה,0
נצ'יג',0
צחיח,0
אלחב,0
ובעד,0
ד'לך,0
ידרסה,0
וג'עלה,0
פי,0
"אלסלה,",0
פאלזית,0
אלסאיל,0
מנה,0
הו,0
אלאול.,0
ת'ם,0
יחמל,0
עליה,0
כ'שבהֿ,0
אלמעצרה,0
והי,0
אלתי,0
תתמסי,0
קורת,1
בית,1
"הבד,",1
והי,0
אלתי,0
יסמי,0
הנא,0
קורה,1
באטלאק,0
לדלאלהֿ,0
אלמעני,0
"עליהא,",0
פיכון,0
אלזית,0
אלסאיל,0
מנה,0
הו,0
"אלת'אני,",0
ת'ם,0
יכ'רג'ה,0
מן,0
תחת,0
אלכ'שבה,0
"ויטחנה,",0
ת'ם,0
יחמל,0
עליה,0
אלכ'שבה,0
מרה,0
ת'אניה,0
והד'ה,0
הו,0
אלזית,0
"אלת'אלת',",0
וכד'לך,0
יפעל,0
פי,0
זית,1
שני,1
והו,0
אלד'י,0
תנפץ',0
אלזיתון,0
כלהא,0
אלטיב,0
ואלגיר,0
אלטיב,0
וינשרהא,0
פי,0
אלסטח,0
והנאך,0
יכ'תאר,0
מנהא,0
"אלטיב,",0
וכד'לך,0
יפעל,0
פי,0
זית,1
שלישי,1
והו,0
אלד'י,0
יג'על,0
פי,0
אלמעטן,0
חתי,0
יעפן.,0
ומעטן,0
אסם,0
אלצהריג',0
אלד'י,0
יעפן,0
פיה,0
אלזיתון,0
והי,0
לפט'ה,0
עבראניה,0
עטיניו,1
מלאו,1
"חלב,",1
והי,0
אלעט'אם,0
אלתי,0
יכון,0
פיהא,0
מך',0
שבההא,0
באלמעטן,0
לכברהא,0
ואתסאע,0
"פצ'אהא,",0
ומן,0
הד'א,0
אלאסם,0
אשתק,0
אלפעל,0
וקאל,0
עטנו.,1
ואין,1
הלכה,1
כר',1
יהודה.,1
