word,is_he
"אליוסטן,",1
"משמס,",0
אעני,0
אנה,0
יג'על,0
פי,0
אלג'ראר,0
ללשמס,0
חתי,0
"יטיב,",0
כמת'ל,0
מא,0
יפעל,0
פי,0
"מצר,",0
ואסם,0
אלשמס,0
באליונאניה,0
קאל,0
בעץ',0
אלשארחין,0
"אליוסטן,",0
ויכרה,0
ר',1
אלכ'מר,0
אלקדים,0
והו,0
אלד'י,0
כמל,0
לה,0
עאם,0
לאנה,0
חאד,0
ותחדת',0
פיה,0
"מרארה,",0
ויסנד,0
ד'לך,0
לקולה,0
אל,1
תרא,1
יין,1
כי,1
יתאדם.,1
"מעושן,",1
"אלמדכ'ן,",0
ויריד,0
בד'לך,0
אן,0
אלאניה,0
אד'א,0
כאנת,0
אניה,0
להא,0
ראיחה,0
סו,0
פד'לך,0
אלכ'מר,0
יג'י,0
פיה,0
בכ'אר,0
והו,0
יתסמי,0
"מעושן,",1
וכת'יר,0
מא,0
תחדת',0
הד'ה,0
אלאפה,0
ענדנא,0
פי,0
כ'מור,0
אלמגרב.,0
"ומבושל,",1
אלמטבוך',0
באלנאר.,0
"ודליות,",1
אלדואלי,0
אלמרפועה,0
ען,0
אלארץ',0
עלי,0
אלעריש.,0
"ורוגליות,",1
אלממתדה,0
עלי,0
אלארץ',0
כסאיר,0
אלכרמאת.,0
וקולה,0
"העבודים,",1
בינוא,0
אן,0
מענאה,0
אלמכ'דומה,0
מרתין,0
פי,0
"אלעאם,",0
וכ'דמהֿ,0
אלכרמאת,0
הו,0
אלחפר,0
חול,0
אצולהא,0
שבה,0
אחואץ',0
וסקיהא,0
ותנקיתהא,0
ואקלאב,0
תלך,0
אלארץ',0
בג'מלתהא,0
חתי,0
ידאכ'להא,0
אלמא,0
ואלהוא.,0
