word,is_he
נתנו,1
"לכהן,",1
יעני,0
נתן,1
פטר,1
חמור,1
עצמו,1
לכהן,1
פילזם,0
אלכהן,0
אן,0
יפדיה,0
בשה,1
"לעצמו,",1
וחכם,0
ד'לך,0
אלשה,0
אנה,0
חולין,1
לכל,1
"דבר,",1
וחיניד',0
יתצרף,0
באלחמאר,0
כסאיר,0
"אלחמר,",0
והכהנים,1
חשודים,1
עלי,0
הד'א,0
"אלמעני,",0
לאנה,0
קד,0
לא,1
יפריש,1
עליו,1
"שה,",1
פלד'לך,0
לא,0
יג'וז,0
לישראל,1
ידפע,0
פטר,1
חמור,1
לכהן,1
אלא,0
אן,0
יפדיה,0
אלכהן,0
במחצ'רה.,0
ואין,1
הלכה,1
כר',1
אלעזר.,1
ואעלם,0
אנה,0
אן,0
אראד,0
פדיהֿ,0
פטר,1
חמור,1
בת'מנה,0
פלה,0
"ד'לך,",0
ואנמא,0
קיל,0
בשה,1
להקל,1
"עליו,",1
ומתי,0
מא,0
כאנת,0
קימתה,0
אקל,0
מן,0
שלשה,1
דינרין,1
פלא,0
יפדי,0
אלא,1
בשה,1
או,1
בשלשה,1
דינרין,1
פמא,0
זאד.,0
