word,is_he
אול,0
מא,0
אבין,0
אן,0
אלגלט,0
יכון,0
מן,0
אלמפתי,0
פי,0
אחד,0
"שיאין,",0
אמא,0
פי,0
אלמנקול,0
אלמנצוץ,0
וד'לך,0
אן,0
ינסי,0
ד'לך,0
אלנץ,0
אן,0
לא,0
יכון,0
עלמה,0
והד'א,0
יקאל,0
לה,0
טעה,1
בדבר,1
"משנה,",1
ואלת'אני,0
אן,0
יגלט,0
פי,0
אמר,0
קיאס,0
וד'לך,0
באן,0
יכון,0
אלאמר,0
ממכן,0
אנה,0
כמא,0
קאל,0
לכן,0
יכון,0
אלעמל,0
עלי,0
"כ'לאפה,",0
והד'א,0
יתסמי,0
טעה,1
בשקול,1
הדעת.,1
והד'א,0
כאן,0
קבל,0
תדוין,0
"אלתלמוד,",0
אמא,0
פי,0
זמאננא,0
הד'א,0
פקל,0
מא,0
ימכן,0
"ד'לך,",0
אד',0
הד'א,0
אלד'י,0
יפתי,0
בשי,0
אן,0
וג'ד,0
פי,0
מא,0
תדון,0
פי,0
אלתלמוד,0
כ'לאפה,0
פהו,0
טועה,1
בדבר,1
"משנה,",1
ואן,0
לם,0
יוג'ד,0
כ'לאפה,0
וכאן,0
קיאסה,0
פיה,0
סאיג,0
בחסב,0
אלקיאסאת,0
אלשרעיה,0
ואן,0
כאן,0
יתוג'ה,0
כ'לאף,0
מא,0
אפתי,0
בה,0
פליס,0
יקדר,0
אן,0
ית'בת,0
עליה,0
אלגלט,0
אד',0
קיאסה,0
"ממכן,",0
ואלאצל,0
אלצחיח,0
אן,0
כל,1
טועה,1
בדבר,1
משנה,1
חוזר,1
הדין,1
ולא,0
ילזמה,0
גרם,0
ראסא,0
כאן,0
אלמפתי,0
מן,0
"כאן,",0
ולו,0
לם,0
ימכן,0
פי,0
ד'לך,0
אלשי,0
אלאנג'באר,0
מת'ל,0
פתוי,0
ר',1
טרפון,1
פי,0
הד'ה,0
אלפרה,0
אנהא,0
טרפה,1
והאכילה,1
בפתואה,0
לכלבים,0
פהו,0
פטור,1
"מלשלם,",1
לאנה,0
טעה,1
בדבר,1
"משנה,",1
אד',0
לם,0
יכן,0
יעלם,0
אן,0
הד'ה,0
ליסת,0
מן,0
ג'מלהֿ,0
אלטרפות,0
אעני,0
אלתי,0
יקטע,0
מן,1
הרחם,1
שלה,1
שיא,0
ולו,0
לם,0
יכן,0
"מומחה,",0
והו,0
קולהם,0
חדא,1
ועוד,1
קאמר,1
ליה,1
חדא,1
דטעה,1
בדבר,1
משנה,1
"את,",1
ועוד,1
אי,1
נמי,1
בשקול,1
הדעת,1
טעית,1
מומחה,1
לבית,1
דין,1
אתה.,1
ואעלם,0
אן,0
אד'א,0
כאן,0
אלמפתי,0
גאלטא,0
בשקול,1
הדעת,1
ולא,1
נשא,1
ונתן,1
ביד,1
ולא,0
פאת,0
ד'לך,0
אלשי,0
חתי,0
לא,0
ימכן,0
"רג'ועה,",0
פלא,0
ילזמה,0
"גרם,",0
בל,0
חוזר,1
"הדין,",1
פאן,0
נשא,1
ונתן,1
ביד,1
או,0
אפתי,0
פי,0
שי,0
אן,0
יתלף,0
ותלף,0
מת'ל,0
אן,0
ינג'ס,0
שיא,0
או,0
יחרמה,0
וימתצ'י,0
ד'לך,0
ויכ'סר,0
צאחב,0
אלמאל,0
מאלה,0
פפי,0
ד'לך,0
יקע,0
אלתקסים,0
בין,0
"אלחכאם,",0
אן,0
כאן,0
אלחאכם,0
מומחה,1
ונוטל,1
רשות,1
ולו,0
לם,0
ירצ'י,0
בה,0
אלכ'צמין,0
או,0
לם,0
יסתפתיה,0
אלמסתפתי,0
"באכ'תיארה,",0
או,0
כאן,0
מומחה,1
ואינו,1
נוטל,1
רשות,1
לכן,0
רצ'יא,0
בה,0
אלכ'צום,0
או,0
אלמסתפתי,0
פלא,0
ילזמה,0
"גרם,",0
בל,0
נקול,0
מה,1
שעשה,1
עשוי,1
אן,0
כאן,0
פאת,0
אלשי,0
או,1
יחזור,1
הדין,1
פי,0
מא,0
ימכן,0
"רג'ועה,",0
פאן,0
כאן,0
