word,is_he
גאיהֿ,0
מא,0
הו,0
אלכהן,0
חשוד,0
אן,0
יוקע,0
מום,1
באלקצד,0
פי,0
אלבכור,0
כי,0
יחל,0
לה,0
אכלה,0
וביעה,0
מת'ל,0
"אלחולין,",0
אמא,0
אן,0
יאכל,1
קדשים,1
בחוץ,1
פליס,0
הו,0
מתהם,0
"בד'לך,",0
פלהד'א,0
אד'א,0
קאל,0
אנא,0
אפתית,0
אן,0
הד'א,0
מום,1
ישחט,1
עליו,1
הבכור,1
פהו,0
"מצדק,",0
וכד'לך,0
יצדק,0
איצ'א,0
אד'א,0
קאל,0
בכור,1
זה,1
נתן,1
לי,1
ישראל,1
"במומו,",1
לאנהא,0
מלתא,1
דעבידא,1
"לאגלויי,",1
לאנה,0
קד,0
יסאל,0
אלד'י,0
דפעה,0
לה,0
הל,0
דפעה,0
במום,0
או,0
דון,0
מום,1
והד'א,0
אלמום,0
ענד,0
אלכהן,0
חדת',0
אלד'י,0
לא,0
יצדק,0
עליה,0
אלא,0
בעד,0
כמא,0
תקדם.,0
ואעלם,0
אן,0
עד,1
מפי,1
עד,1
כשר,1
לעדות,1
בכור.,1
וכד'לך,0
אשה,0
תשהד,0
אן,0
הד'א,0
אלמום,0
אמאמי,0
חדת',0
ולם,0
יפעל,0
באלקצד.,0
ואעלם,0
אן,0
אלכהנים,0
איצ'א,0
יכ'רג'ון,0
מעשר,1
"בהמה,",1
ואלד'י,0
אוג'ב,0
אן,0
יכון,0
אלכל,0
נאמנין,1
על,1
מומי,1
מעשר,1
אנהא,0
לם,0
תקצד,0
ולו,0
"אלבעלים,",0
לאנה,0
לו,0
שא,0
לג'על,0
ג'מלהֿ,0
גנמה,0
ד'את,0
עיב,0
וחיניד',0
כאן,0
יעשרהא,0
ויכ'רג',0
אלמעשר,0
ד'ו,0
עיב.,0
ת'ם,0
קאל,0
אן,0
הד'ה,0
אלעיוב,0
אלמעלומה,0
אלתי,0
לא,0
שך,0
פיהא,0
אנהא,0
עיוב,0
פיוקף,0
עליהא,0
שלשה,1
הדיוטות,1
וישחט,1
על,1
פיהם,1
הד'א,0
אד'א,0
לא,0
יכן,0
פי,0
תלך,0
אלמדינה,0
"מומחה,",0
אמא,0
אן,0
כאן,0
ת'ם,0
מומחה,1
לא,1
ישחט,1
אלא,1
על,1
פיו.,1
וכד'לך,0
הפרת,1
נדרים,1
לא,1
יפר,1
שלשה,1
הדיוטות,1
אלא,1
במקום,1
שאין,1
חכם.,1
ור',1
יוסי,1
יקול,0
ולו,0
כאן,0
סנהדרין,1
חצ'ור,0
ולא,0
יכון,0
פי,0
אלמדינה,0
מומחה,1
למומי,1
בהמה,1
לא,1
ישחט,1
על,1
פיהם,1
חתי,0
יחצ'ר,0
מומחה.,1
ואין,1
הלכה,1
כר',1
יוסי.,1
