word,is_he
אלחכמים,0
יקולון,0
אן,0
חלק,1
בכורה,1
ירושה,1
הוא,1
לאנה,0
אתקש,0
"לפשוט,",1
ויבם,1
בכור,1
קריה,1
"רחמנא,",1
וורת',0
אלאנסאן,0
לזוג'תה,0
דאוריתא,1
הוא,0
פלד'לך,0
לא,0
תרג'ע,0
הד'ה,0
אלאשיא,0
ביובל.,1
ור',1
אלעזר,1
יקול,0
חלק,1
בכורה,1
מתנה,1
הוא,1
לקולה,0
תעלי,0
לתת,1
לו,1
ולם,0
יקל,0
להוריש,1
"לו,",1
ואליבם,0
מת'ל,0
"אלבכור,",0
וירושת,1
הבעל,1
לאשתו,1
"דרבנן,",1
פלד'לך,0
תרג'ע,0
הד'ה,0
אלאשיא,0
ביובל.,1
ור',1
יוחנן,1
בן,1
ברוקא,1
מד'הבה,0
מת'ל,0
מד'הב,0
"אלחכמים,",0
וכלאמה,0
הנא,0
אנמא,0
הו,0
פי,0
מן,0
ורת',0
מן,0
זוג'תה,0
מקברה,0
פאנה,0
פגם,1
משפחה,1
אן,0
תכ'רג',0
אלמקברה,0
מן,0
"אידיהם,",0
פלד'לך,0
תרג'ע,0
להם,0
מקברתהם,0
וידפעון,0
להם,0
סויתהא,0
וינקץ,0
להם,0
מן,0
ג'מלהֿ,0
ת'מנהא,0
מא,0
יג'ב,0
ללקבר,0
אלד'י,0
דפן,0
פיה,0
זוג'תה,0
לאן,0
עליה,0
"דפנהא,",0
והד'א,0
הו,0
מעני,0
ינכה,1
להם,1
מן,1
הדמים.,1
והלכה,1
כר',1
"אלעזר,",1
אלא,0
פי,0
ירושת,1
אשה,1
לאנהא,0
ואן,0
כאנת,0
מדרבנן,1
כמא,0
ד'כר,0
עשו,1
לה,1
חזוק,1
כשל,1
תורה,1
ולא,1
יחזיר.,1
אלא,0
אן,0
כאנת,0
מקברה,0
פאן,0
אלהלכה,0
פי,0
ד'לך,0
כר',1
יוחנן,1
בן,1
ברוקה.,1
