word,is_he
קד,0
עלמת,0
אן,0
"שום,",1
"אלתקדיר,",0
פקאל,0
אן,0
אד'א,0
כאנת,0
ארץ',0
ענד,0
אליתומים,0
ולזם,0
בית,1
דין,1
ביעהא,0
עלי,0
מא,0
"נבין,",0
או,1
הקדיש,1
אחד,1
שדה,1
מקנה,1
אלתי,0
תפדי,0
בת'מנהא,0
אלתי,0
תסוי,0
כמא.,0
"תקדם,",0
פלא,0
תבאע,0
הד'ה,0
אלארצ'י,0
חתי,0
ינאדי,0
עליהא,0
אלעדה,0
אלמד'כורה,0
מן,0
אלאיאם,0
בבקר,1
ובערב,1
אלד'ין,0
המא,0
וקתי,0
אג'תמאע,0
אהל,0
אלצנאיע,0
פי,0
"אלמואקף,",0
והד'ה,0
אלאיאם,0
תכון,0
מתתאליה,0
יום,0
בעד,0
"יום,",0
ואד'א,0
נודי,0
עלי,0
נכסי,1
יתומים,1
ששים,1
יום,1
שני,1
וחמישי,1
פד'לך,0
חסן,0
והו,0
אלאולי,0
"פיהא,",0
והו,0
קולהם,0
אף,1
על,1
גב,1
דכי,1
חשיב,1
ליומי,1
דהכרזה,1
לא,1
האוו,1
אלא,1
תמני,1
סר,1
יומא,1
כיון,1
דמשכא,1
מלתא,1
טובא,1
שמעי,1
"אינשי,",1
ויחתאג',0
אן,0
יבין,0
פי,0
אלנדא,0
אלמוצ'ע,0
בחדודה,0
וכם,0
יסוי,0
ומן,0
אג'ל,0
אי,0
שי,0
"יבאע,",0
אעני,0
אנה,0
יקול,0
ואלד'י,0
ישתריה,0
יעול,0
אן,0
ידפע,0
ת'מנה,0
פי,0
דין,0
פלאן,0
או,0
פי,0
כתובת,0
"פלאנה,",0
לאן,0
מן,0
אג'ל,0
ד'לך,0
תבאע,0
אמלאך,0
אלאיתאם.,0
ואעלם,0
אן,0
אלאצל,0
אלמעמול,0
עליה,0
אין,1
נזקקין,1
לנכסי,1
"יתומין,",1
ועלי,0
אנהם,0
קד,0
קאלוא,0
יתמי,1
דאכלו,1
דלא,1
דידהו,1
ליזלו,1
בתר,1
"שבקיהו,",1
לכן,0
קטוע,0
אלהלכה,0
אין,1
נזקקין,1
לנכסי,1
"יתומים,",1
ולא,0
תבאע,0
בוג'ה,0
אלא,0
לאחד,0
ת'לאת'ה,0
אשיא,0
לא,0
"גיר,",0
אמא,0
פי,0
כתובת,1
אשה,1
לאן,0
להם,0
פי,0
ד'לך,0
נפע,0
כביר,0
לאנהא,0
טאל,0
מא,0
לא,0
תאכ'ד',0
אלכתובה,0
יש,1
לה,1
מזונות,1
מנכסי,1
יתומים,1
כמא,0
תבין,0
פי,0
חאדי,0
עשר,0
"כתובות,",1
ולו,0
כאנת,0
גרושה,0
אלתי,0
אין,1
לה,1
מזונות,1
תקצ'י,0
אלכתובה,0
חתי,0
יחצל,0
להא,0
שי,0
תזווג',0
בה,0
רפקא,0
בהא,0
לצ'עפהא,0
כמא,0
ירפק,0
באלאיתאם,0
לצ'עפהם.,0
או,0
לדין,0
גוי,0
יכון,0
עליהם,0
ברבית,1
ותכון,0
רבית,1
אוכלת,1
בנכסיהם,1
פביע,0
ארצ'הם,0
ותודיהֿ,0
ד'לך,0
אלדין,0
צלאחא,0
בהם.,0
או,0
אד'א,0
תחקקנא,0
אן,0
דין,0
הד'א,0
אלטאלב,0
באקיא,0
עלי,0
אביהם,0
אמא,0
באקראר,0
אביהם,0
ענד,0
מותה,0
אן,0
לפלאן,0
"ענדי,",0
או,0
בכון,0
בית,1
דין,1
קד,0
שמתוה,0
אלי,0
אן,0
ידפע,0
דינה,0
ומת,1
"בנדויו,",1
או,0
אד'א,0
כאן,0
אלדין,0
מאג'ל,0
ולם,0
יחל,0
אג'לה,0
לאן,0
אלאצל,0
ענדנא,0
חזקה,1
לא,1
עביד,1
אינש,1
דפרע,1
בגו,1
