word,is_he
אמא,0
לו,0
קאל,0
הרי,1
זו,1
תמורת,1
עולה,1
ושלמים,1
פלו,0
לר',1
מאיר,1
דבריו,1
"קיימין,",1
לכנה,0
למא,0
כרר,0
לפט',0
תמורה,1
קאל,0
ר',1
מאיר,1
תפוס,1
לשון,1
"ראשון,",1
ור',1
יוסי,1
יקול,0
אנה,0
מחתאג',0
לתכריר,0
לפט',0
תמורה,1
אנה,0
אד'א,0
קאל,0
תמורת,1
עולה,1
ושלמים,1
יכון,0
מסמוע,0
הד'א,0
אלקול,0
אן,0
בעצ'הא,0
תמורת,1
עולה,1
ובעצ'הא,0
"שלמים,",1
ויכון,0
חכם,0
תלך,0
אלבהימה,0
כחכם,0
מן,0
קאל,0
בהמה,1
זו,1
חציה,1
עולה,1
וחציה,1
שלמים,1
אלתי,0
הי,0
קדשה,1
ואינה,1
"קרבה,",1
פללכ'רוג',0
מן,0
הד'א,0
אלאשכאל,0
קאל,0
הרי,1
זו,1
תמורת,1
עולה,1
ותמורת,1
שלמים,1
חתי,0
יכון,0
אלמפהום,0
מן,0
הד'א,0
אלקול,0
אן,0
חציה,1
תמורת,1
עולה,1
וחציה,1
תמורת,1
שלמים,1
ולד'לך,0
דבריו,1
קיימין,1
וחכמהא,0
כמא,0
קאלוא,0
אנהא,0
תמכר,1
ויביא,1
בחצי,1
דמיה,1
תמורת,1
עולה,1
ובחצי,1
דמיה,1
תמורת,1
שלמים.,1
וממא,0
יג'ב,0
אן,0
תעלמה,0
אן,0
מתי,0
מא,0
קאל,0
בהמה,1
זו,1
חציה,1
חטאת,1
וחציה,1
קרבן,1
אכ'ר,0
גיר,0
אלחטאת,0
אעני,0
עולה,1
או,1
"שלמים,",1
או,0
עכס,0
וקאל,0
חציה,1
עולה,1
או,1
שלמים,1
וחציה,1
חטאת,1
וכאן,0
אלקאיל,0
מחוייב,1
חטאת,1
פאן,0
תלך,0
אלבהימה,0
תמות.,0
וקול,0
ר',1
יוסי,1
איצ'א,0
נמלך,0
ולו,0
כאן,0
בתוך,1
כדי,1
דבור.,1
והלכה,1
כר',1
יוסי.,1
