word,is_he
יקול,0
כיף,0
הי,0
אלשפחה,0
אלמד'כורה,0
פי,0
אלתורה,0
אלתי,0
תקדמת,0
אחכאמהא,0
פקאל,0
אן,0
צפתהא,0
"כד'א,",0
וד'לך,0
אן,0
קולה,0
והפדה,1
לא,1
נפדתה,1
מענאה,0
לא,0
תכמל,0
"פדיתהא,",0
וקולה,0
נחרפת,1
לאיש,1
דליל,0
אן,0
פיהא,0
צד,1
"קדושין,",1
והד'א,0
לא,0
ימכן,0
אלא,0
אן,0
תכון,0
מקודשת,1
לעבד,1
עברי,1
אלד'י,0
יש,1
לו,1
קדושין,1
והיא,1
לו,1
מותרת,1
כמא,0
ד'כרנא,0
פי,0
סאדס,0
"תמורה,",1
פלד'לך,0
צחת,0
לה,0
פיהא,0
"מלכיה,",0
ואלדליל,0
עלי,0
כונהא,0
מקודשת,1
ואן,0
את'רת,0
פיהא,0
אלקדושין,0
בעץ',0
את'רה,0
קולה,0
תעלי,0
לא,1
יומתו,1
כי,1
לא,1
חופשה,1
הא,1
חופשה,1
"ימותו,",1
ולא,0
יצח,0
אן,0
יקאל,0
אן,0
מן,0
נכח,0
שפחה,1
משוחררת,1
יקתל,0
לאנהא,0
פנויה,0
כסאיר,0
"אלנסא,",0
אלא,0
לכונהא,0
מקודשת,1
ופיהא,0
צד,1
עבדות,1
לו,1
כמלת,0
חריתהא,0
לכאנת,0
אשת,1
איש,1
ויקתלא,0
"ג'מיעא,",0
והכד'א,0
קאלוא,0
פדויה,1
ואינה,1
פדויה,1
חציה,1
שפחה,1
וחציה,1
בת,1
חורין,1
ומאורסת,1
לעבד,1
עברי,1
דברי,1
ר',1
עקיבה.,1
וכן,1
הלכה.,1
ת'ם,0
קאל,0
אן,0
כל,1
העריות,1
אחד,1
גדול,1
"וכו',",1
וקד,0
בינא,0
פי,0
סאבע,0
סנהדרין,1
אן,0
אלקטנה,0
אלתי,0
יכון,0
נאכחהא,0
חייב,0
אד'א,0
כאן,0
גדול,1
הי,0
בת,1
שלש,1
שנים,1
ויום,1
אחד,1
פמא,0
זאד.,0
וכד'לך,0
אלקטן,0
אלתי,0
תכון,0
אלמנכוחה,0
מנה,0
חייבת,0
אד'א,0
כאנת,0
גדולה,1
הו,0
בן,1
תשע,1
שנים,1
ויום,1
אחד,1
פמא,0
זאד.,0
אמא,0
פחותה,1
מבת,1
שלש,1
שנים,1
או,1
פחות,1
מבן,1
תשע,1
שנים,1
אין,1
ביאתן,1
ביאה.,1
הד'א,0
פי,0
שאר,1
"עריות,",1
אמא,0
פי,0
שפחה,1
חרופה,1
אינו,1
חייב,1
על,1
הקטנה,1
ועלי,0
אנהא,0
יתירה,1
על,1
בת,1
שלש,1
שנים,1
ויום,1
אחד,1
חתי,0
תכון,0
גדולה,1
ולא,0
בד.,0
וכד'לך,0
שאר,1
עריות,1
אחד,1
ער,1
ואחד,1
ישן,1
ער,1
"חייב,",1
אלא,0
פי,0
שפחה,1
חרופה,1
אנהא,0
אד'א,0
כאנת,0
ישנה,0
פהו,0
איצ'א,0
פטור.,0
פאעלם,0
ד'לך.,0
וקד,0
תבין,0
אן,0
לא,0
פרק,0
פיהא,0
בין,1
שוגג,1
ומזיד.,1
