word,is_he
ר',1
מאיר,1
יקול,0
כיון,1
דלא,1
צריך,1
ליה,1
לא,1
מקדיש,1
"ליה,",1
ומא,0
הקדיש,0
אלא,0
עלי,0
"שך,",0
פלמא,0
עלם,0
ארתפעת,0
אלקדושה.,0
ואלחכמים,0
יקולון,0
קלב,0
אלאנסאן,0
מריץ',0
מן,0
אלד'נוב,0
ועלי,0
אנה,0
שך,0
פי,0
הד'א,0
אלד'נב,0
מנד',0
הקדיש,1
חלה,1
קדושה,1
עליו,1
לאנה,0
גמר,1
בלבו,1
להקדישו,1
ולד'לך,0
ירעי,0
חתי,0
יחדת',0
פיה,0
עיב,0
ויבאע,0
וירמי,0
ת'מנה,0
פי,0
שופר,1
נדבה.,1
והלכה,1
כחכמים.,1
ואין,1
הלכה,1
כר',1
אליעזר.,1
ולא,1
כר',1
"יוסי,",1
לאן,0
ר',1
יוסי,1
יקול,0
כלי,1
שרת,1
מקדשין,1
את,1
הפסול,1
לקרב,1
וכל,1
העומד,1
לזרוק,1
כזרוק,1
"דאמי,",1
והד'א,0
כלה,0
מדפוע.,0
