word,is_he
מנד',0
מעל,0
אלשכ'ץ,0
אלאול,0
פקד,0
חלל,0
ד'לך,0
אלקדש,0
כמא,0
תבין,0
פי,0
ת'אני,0
"קדושין,",1
ולד'לך,0
אלד'י,0
יסתנפע,0
בד'לך,0
אלשי,0
בעדה,0
לא,1
מעל.,1
והד'א,0
אלחכם,0
אנמא,0
הו,0
פי,0
קדשי,1
בדק,1
הבית,1
"כ'אצה,",0
ובשרט,0
אן,0
יכון,0
אלאול,0
הוציאו,1
בשגגה,1
בביע,0
או,0
"בהבה,",0
אמא,0
אד'א,0
כאן,0
אלאול,0
נהנה,1
ופגם,1
בבהמה,1
זו,1
או,1
בכלי,1
זה,1
וג'א,0
בעדה,0
ת'אן,0
ופעל,0
כד'לך,0
ולו,0
אלף,1
כולם,1
מעלו.,1
אמא,0
קדשי,1
מזבח,1
פיש,0
בהן,1
מועל,1
אחר,1
מועל,1
עלי,0
כל,0
חאל,0
לאנה,0
לו,0
נתן,0
הד'ה,0
אלחטאת,0
לחברו,1
מתנה,1
ואבאעהא,0
חברו,1
לאחר,1
כולם,1
מעלו.,1
וקולה,0
כלי,1
"שרת,",1
יריד,0
בה,0
אואני,0
אלתצרף,0
מת'ל,0
אלבסאט,0
ואלקאדום,0
ונחוהא.,0
ואלד'י,0
בין,1
תנא,1
קמא,1
ור',1
הי,0
קדשי,1
מזבח,1
שנפל,1
בהן,1
"מום,",1
ר',1
יקול,0
אנה,0
אם,1
עבר,1
ושחטן,1
יקברו,1
ואין,1
להן,1
פדיון,1
פלד'לך,0
יש,1
בהן,1
מועל,1
אחר,1
"מועל,",1
ותנא,1
קמא,1
יקול,0
יפדו,0
פלד'לך,0
אין,1
בהן,1
מועל,1
אחר,1
מועל,1
אעני,0
פי,0
בעלי,1
"מומין,",1
בל,0
כיון,1
שנהנה,1
ופגם,1
בביעהא,0
מעל,0
עלי,0
מא,0
תקדם,0
פי,0
הד'א,0
"אלפרק,",0
ואלד'י,0
יהנה,0
בתלך,0
אלבהימה,0
בעדה,0
לא,1
מעל.,1
ואין,1
הלכה,1
כר'.,1
