word,is_he
קאלוא,0
פי,0
ספרא,1
מנין,1
אכל,1
היום,1
ואכל,1
למחר,1
ואפילו,1
לזמן,1
מרובה,1
בהעלם,1
אחד,1
תלמוד,1
לומר,1
תמעול,1
מעל,1
מכל,1
מקום.,1
והנאך,0
קיל,0
איצ'א,0
מנין,1
לאכילתו,1
ואכילת,1
חברו,1
הנאתו,1
ואכילת,1
חברו,1
ואפילו,1
מכאן,1
לשלש,1
שנים,1
תלמוד,1
לומר,1
תמעול,1
מעל,1
מכל,1
מקום.,1
ומעני,0
קולהם,0
אכילתו,1
ואכילת,1
חברו,1
אן,0
יאכל,0
הו,0
ויטעם,0
"צאחבה,",0
או,0
יסתנפע,0
הו,0
נפסה,0
בשי,0
וינפע,0
צאחבה,0
בשי,0
"אכ'ר,",0
מת'ל,0
אן,0
יכארמה,0
"ויחאסנה,",0
פאן,0
אלכל,0
"ינצ'אף,",0
ואד'א,0
כמל,0
מנה,0
שוה,1
פרוטה,1
עלי,0
אלשרוט,0
אלמתקדמה,0
"מעל,",0
וד'לך,0
כלה,0
בין,0
ממא,0
תקדם.,0
