word,is_he
קד,0
תקדמת,0
לנא,0
אצול,0
כת'ירה,0
ממא,0
יחתאג',0
אליה,0
פי,0
הד'ה,0
אלמסכתא,0
פי,0
הד'א,0
"אלסדר,",0
ולכן,0
אד'כר,0
בעצ'הא,0
באיג'אז.,0
מן,0
ד'לך,0
אן,0
אלזב,0
אד'א,0
ראה,1
שתי,1
ראיות,1
כאן,0
טמא,1
טומאת,1
"זב,",1
לכנה,0
אד'א,0
טהר,1
מזובו,1
פטור,1
מן,1
"הקרבן,",1
ואד'א,0
ראה,1
שלש,1
ראיות,1
לזמה,0
קרבן,1
ענד,0
מא,0
יטהר.,1
קאל,0
תעלי,0
אדם,1
כי,1
יהיה,1
זב,1
מבשרו,1
זובו,1
טמא,1
הוא.,1
ד'כר,0
לפט',0
זיבות,1
מרתין,0
וקאל,0
"טמא,",1
ת'ם,0
קאל,0
וזאת,1
תהיה,1
טומאתו,1
בזובו,1
רר,1
בשרו,1
את,1
זובו,1
או,1
החתים,1
בשרו,1
מזובו,1
טומאתו,1
"היא,",1
ד'כר,0
לפט',0
זיבות,1
ת'לת',0
מראת,0
וחיניד',0
קאל,0
טומאתו,1
"היא,",1
קאלוא,0
מנה,1
הכתוב,1
שתים,1
וקרא,1
טמא,1
שלש,1
וקרא,1
"טמא,",1
הא,1
כיצד,1
שתים,1
לטומאה,1
ושלש,1
לקרבן.,1
ולו,0
ראה,0
אלשלש,0
כלהא,0
פי,0
חין,0
ואחד,0
פהו,0
טמא,1
וחייב,1
בקרבן.,1
אמא,0
אלזבה,0
פחתי,0
תרי,0
אלדם,0
ת'לת'ה,0
איאם,0
מתואליה,0
וחיניד',0
תכון,0
זבה,1
גמורה,1
לקולה,0
כי,1
יזוב,1
זוב,1
דמה,1
ימים,1
"רבים,",1
קאלוא,0
מיעוט,1
ימים,1
שנים,1
רבים,1
"שלשה,",1
וקאלוא,0
תלה,1
הכתוב,1
את,1
הזב,1
בראיות,1
ואת,1
הזבה,1
בימים.,1
ואד'א,0
ראת,0
אלדם,0
יום,1
אחד,1
או,1
שנים,1
בלא,1
עת,1
נדתה,1
והי,0
אלתי,0
תתסמי,0
שומרת,1
יום,1
כנגד,1
יום,1
פהי,0
תטמא,1
את,1
בועלה,1
ותטמא,1
משכב,1
ומושב,1
כמא,0
בינא,0
פי,0
נדה.,1
וקאלוא,0
פי,0
ספרא,1
אין,1
לי,1
אלא,1
הרואה,1
שלשה,1
ימים,1
שהיא,1
"זבה,",1
מנין,1
לרואה,1
שנים,1
שתהא,1
זבה,1
תלמוד,1
לומר,1
ימי,1
זובה,1
כימי,1
"נדתה,",1
מניין,1
לרואה,1
יום,1
אחד,1
שתהא,1
זבה,1
תלמוד,1
לומר,1
כל,1
ימי,1
זובה,1
כימי,1
"נדתה,",1
מניין,1
שתהא,1
משמרת,1
להם,1
יום,1
אחד,1
תלמוד,1
לומר,1
טמא,1
יהיה.,1
וגרץ',0
אסתדלאלה,0
מן,0
קולה,0
כימי,1
נדתה,1
לאן,0
אלנדה,0
ולו,0
לם,0
תר,0
גיר,0
ראיה,0
ואחדה,0
פהי,0
נדה.,1
פאחפט',0
הד'ה,0
אלאצול,0
דאימא.,0
ובית,1
שמאי,1
יקולון,0
אן,0
אלד'י,0
ירי,0
ראיה,1
אחת,1
של,1
זוב,1
מטמא,1
משכב,1
ומושב,1
מת'ל,0
שומרת,1
יום,1
כנגד,1
יום.,1
ור',1
אלעזר,1
בן,1
יהודה,1
יקול,0
אן,0
גאיהֿ,0
מא,0
יכ'אלפון,0
בית,1
שמאי,1
פי,0
מן,0
הו,0
טמא,1
בכונה,0
ראה,1
שתי,1
ראיות,1
פאנהם,0
לא,0
יחוג'ון,0
פי,0
אלראיה,0
אלת'אלת'ה,0
אלתי,0
תביא,1
אותו,1
לידי,1
קרבן,1
אן,0
תכון,0
מתצלה,0
באלשתי,0
"ראיות,",0
בל,0
ולו,0
כאן,0
בינהא,0
הפסקה,1
פהי,0
תנצ'אף.,0
ועלי,0
כלי,0
אלחאלין,0
הלכה,1
כבית,1
הלל.,1
