word,is_he
יעמל,0
פי,0
ט'הר,0
בעץ',0
אלארגפה,0
עג'ין,0
כ'ארג',0
עלי,0
סטח,0
אלכ'בז,0
שבה,0
מסמאר.,0
וחרחור,1
מוצ'ע,0
אלמחרוק,0
מן,0
חאשיהֿ,0
אלכ'בז,0
לאן,0
קולה,0
תעלי,0
בחרחור,1
ובחרב,1
שרחה,0
בשדהֿ,0
אלחרארה,0
ואלג'פוף.,0
פיקול,0
אן,0
אד'א,0
כאנת,0
הד'ה,0
אקל,0
מן,0
מקדאר,0
אלאצבע,0
פהי,0
כאלמתצל,0
וחבור,1
בטבול,1
"יום,",1
ואד'א,0
נגע,1
טבול,1
יום,1
בתלך,0
חצאהֿ,0
אלמלח,0
או,0
אלטרף,0
אלמחרק,0
פסל,0
הככר.,0
וקאל,0
ר',1
יוסי,1
אנא,0
לא,0
נקתדי,0
לא,0
בטול,0
הד'ה,0
אלאטראף,0
ולא,0
"בקצרהא,",0
בל,0
כל,0
מא,0
ימכן,0
אן,0
יוכל,0
מע,0
ד'לך,0
אלכ'בז,0
פהו,0
חבור,1
בטבול,1
יום.,1
ואין,1
הלכה,1
כר',1
יוסי.,1
