word,is_he
קד,0
עלמת,0
אן,0
לוג,1
ארבע,1
רביעיות.,1
והד'א,0
אלגסל,0
אלד'י,0
אג'אזה,0
בפחות,1
מרביעית,1
לכל,0
שכ'ץ,0
אנמא,0
הו,0
פי,0
מים,1
"שניים,",1
אמא,0
מים,1
ראשונים,1
פלא,0
תכון,0
אלא,0
רביעית,1
לכל,0
שכ'ץ.,0
ועלהֿ,0
תסאמחנא,0
פי,0
מים,1
שניים,1
וכונהא,0
תג'וז,0
באקל,0
מן,0
רביעית,1
לכון,0
אלידין,0
קד,0
תטהרת,0
במים,1
"ראשונים,",1
והו,0
קולהם,0
פי,0
תעליל,0
ד'לך,0
שאני,1
התם,1
דקא,1
אתו,1
משירי,1
"טהרה,",1
פליס,0
נחתאג',0
גיר,0
מא,0
ידהן,0
ג'מלהֿ,0
אליד,0
פקט.,0
וקאל,0
ר',1
יוסי,1
אנה,0
ואן,0
כאנת,0
מים,1
שניים,1
ליס,0
תחתאג',0
רביעית,1
לכל,1
שכ'ץ,0
בל,0
מא,0
יעם,0
אליד,0
פקט,0
פאנה,0
יחתאג',0
אן,0
יכון,0
פי,0
אלמא,0
אלד'י,0
יצב,0
מנה,0
ד'לך,0
אלקדר,0
אליסיר,0
"רביעית,",1
והו,0
מעני,0
קולה,0
ובלבד,1
שלא,1
יפחות,1
לאחרון,1
שבהן,1
מרביעית,1
יעני,0
אן,0
יכון,0
פי,0
אלכלי,0
ענד,0
מא,0
יצב,0
מנה,0
על,1
האחרון,1
רביעית.,1
וקולה,0
מוסיפין,1
על,1
השניים,1
בינתה,0
אלתוספתא,0
וד'לך,0
אן,0
פי,0
מים,1
ראשונים,1
אן,0
גסל,0
בעץ',0
ידה,0
פאן,0
אליד,0
כלהא,0
באקיה,0
בנג'אסתהא,0
ולא,0
נקול,0
אנה,0
יגסל,0
אלג'ז,0
אלד'י,0
לם,0
ינגסל,0
ויתם,0
לה,0
נטילה,1
"ראשונה,",1
בל,0
יחתאג',0
אן,0
יגסל,0
ידה,0
כלהא.,0
ופי,0
מים,1
שניים,1
ליס,0
אלאמר,0
"כד'לך,",0
בל,0
אד'א,0
גסל,0
בעץ',0
ידה,0
ותם,0
אלמא,0
או,0
קטע,0
אלצב,0
פאנה,0
ירג'ע,0
ויתם,0
גסל,0
ידה,0
באן,0
יסכב,0
אלמא,0
עלי,0
אלג'ז,0
אלד'י,0
לם,0
"ינגסל,",0
והו,0
קולהם,0
כיצד,1
נטל,1
את,1
הראשונים,1
ושפשף,1
וחזר,1
ונטל,1
את,1
השניים,1
ואין,1
בהן,1
כדי,1
שיגיעו,1
לפרק,1
הרי,1
זה,1
מוסיף,1
"עליהן,",1
אחד,1
הנוטל,1
לידו,1
אחת,1
ואחד,1
הנוטל,1
לשתי,1
ידיו.,1
ואין,1
הלכה,1
כר',1
יוסי.,1
