word,is_he
יד,1
הו,0
"אלמקבץ',",0
ויריד,0
בה,0
אלעוד,0
אלמתצל,0
באלנבאת,0
אלמאכול,0
אלד'י,0
ימסך,0
בה,0
אלטעאם,0
ענד,0
אלאכל,0
או,0
יעלק,0
מנה,0
אד'א,0
אריד,0
רפעה,0
מת'ל,0
אטראף,0
אלכמת'רי,0
ואלתפאח,0
ואלענב,0
ואלאג'אץ,0
וגירהא,0
ממא,0
אשבההא,0
הי,0
כלהא,0
תתסמי,0
יד.,1
ושומר,1
הו,0
אלשי,0
אלד'י,0
יחפט',0
אלטעם,0
ויבקי,0
מדהֿ,0
מא,0
בסבבה,0
מת'ל,0
קשר,0
אלג'וז,0
ללג'וז,0
וקשר,0
אללוז,0
ואלפסתק,0
וגירהא,0
מן,0
ד'ואת,0
אלקשור.,0
וכד'לך,0
אן,0
כאן,0
אלשי,0
אלמאכול,0
נאבת,0
פוק,0
עוד,0
ודאיר,0
בה,0
מת'ל,0
ערג'ון,0
אלתמר,0
אלד'י,0
עליה,0
חבוב,0
אלתמר,0
וערג'ון,0
אלענב,0
אלד'י,0
עליה,0
חבוב,0
אלענב,0
פהו,0
איצ'א,0
"שומר,",1
ומא,0
כאן,0
מן,0
אלעראג'ן,0
כ'ארג',0
ען,0
אלטעם,0
לא,0
חב,0
עליה,0
פהו,0
מן,0
ג'מלהֿ,0
אלידות.,0
וקאל,0
אללה,0
פי,0
טומאת,1
זרעים,1
וכי,1
יפול,1
מנבלתם,1
על,1
כל,1
זרע,1
זרוע,1
אשר,1
יזרע,1
טמא,1
הוא,1
"לכם,",1
וג'אנא,0
אלתפסיר,0
לכם,1
לכל,1
"שבצרככם,",1
יעני,0
אן,0
כל,0
מא,0
לכם,0
פיה,0
חאג'ה,0
והו,0
לכם,0
מעונה,0
מת'ל,0
אלאטראף,0
אלתי,0
ימסך,0
בהא,0
ענד,0
אלאכל,0
פאנהא,0
תנתג'ס,0
באנתג'אס,0
ד'לך,0
אלנבאת.,0
ות'בת,0
בעד,0
מנאט'רה,0
טוילה,0
פי,0
אלגמר,0
ואסתדלאלאת,0
מן,0
אלנצוץ,0
אנהא,0
תנתג'ס,0
"ותנג'ס,",0
אעני,0
אנה,0
אד'א,0
אנתג'ס,0
אלאוכל,0
נפסה,0
אנתג'ס,0
אלטרף,0
אלד'י,0
הו,0
"ידו,",0
ואד'א,0
אנתג'ס,0
ד'לך,0
אלטרף,0
אלד'י,0
פיה,0
מעונה,0
לנא,0
ונגעה,1
בו,1
טומאה,1
אנתג'ס,0
אלנבאת,0
נפסה,0
וד'את,0
"אלאוכל,",0
והד'א,0
הו,0
מעני,0
קולה,0
מיטמא,1
ומטמא,1
יריד,0
אן,0
אליד,0
ינתג'ס,0
באנתג'אס,0
אלאוכל,0
וינתג'ס,0
אלאוכל,0
באנתג'אס,0
אליד.,0
פלמא,0
ת'בת,0
הד'א,0
אלחכם,0
פי,0
ידות,1
אכלין,1
מן,0
קולה,0
טמא,1
הוא,1
לכם,1
עלי,0
מא,0
"בינא,",0
וג'דנא,0
אלנץ,0
קאל,0
פי,0
טומאת,1
זרעים,1
איצ'א,0
וכי,1
יפול,1
מנבלתם,1
על,1
כל,1
זרע,1
זרוע,1
אשר,1
"יזרע,",1
ולא,0
פאיד,0
לקולה,0
אשר,1
יזרע,1
פי,0
באדי,0
אלנט'ר,0
לאן,0
כל,0
זרע,1
לא,0
שך,0
אנה,0
"יזרע,",0
פג'אנא,0
אלנקל,0
אנה,0
יריד,0
בד'לך,0
אנה,0
ינתג'ס,0
והו,0
פי,0
אלחאלה,0
אלתי,0
מן,0
שאן,0
אלנאס,0
אן,0
יכ'רג'וא,0
ד'לך,0
אלשי,0
כד'לך,0
"ללזראעה,",0
פקאלוא,0
כדרך,1
שבני,1
אדם,1
מוציאין,1
לזריעה,1
חטין,1
בקלפיהן,1
ושעורים,1
בקלפתן,1
ועדשים,1
בקלפתן,1
והד'א,0
הו,0
אלשומר,0
כמא,0
קד,0
בינא.,0
ת'ם,0
קלנא,0
לאי,0
שי,0
אשאר,0
אלנץ,0
אלי,0
אלשומרין,0
אנהא,0
תנתג'ס,0
אד'א,0
כאנת,0
ידות,0
אכלין,0
אלתי,0
לא,0
תחפט',0
אלנבאת,0
וליס,0
הי,0
סבב,0
פי,0
בקאיה,0
קלנא,0
אנהא,0
תנתג'ס,0
באנתג'אס,0
אלאכל,0
וינתג'ס,0
אלאכל,0
באנתג'אסהא,0
פכיף,0
אלקשור,0
אלתי,0
הי,0
לאצקה,0
באלטעם,0
וסבב,0
פי,0
דואמה,0
וציאנתה,0
אנהא,0
"תנתג'ס,",0
פג'אנא,0
אלנקל,0
אן,0
אלגרץ',0
באלאשארה,0
אליהא,0
הו,0
אנהא,0
"תצטרף,",0
ואד'א,0
כאן,0
כביצה,1
אכלין,1
פי,0
אלאכל,0
וקלפתו,0
פאנה,0
ינג'ס,0
גירה,0
טומאת,1
אכלין,1
כמא,0
תבין,0
מראת.,0
פיצח,0
מן,0
ד'לך,0
אן,0
אלידות,0
תנתג'ס,0
מן,0
אלאכל,0
וינתג'ס,0
אלאכל,0
"מנהא,",0
ולא,0
תנצ'אף,0
מע,0
אלאכל,0
ליכמל,0
מנהא,0
ג'מיעא,0
כביצה,1
ותנג'ס,0
גירהא.,0
אמא,0
אלשומרין,0
והי,0
אלחואפט',0
פאנהא,0
מע,0
כונהא,0
תנתג'ס,0
ותנג'ס,0
כאלידות,0
פאנהא,0
זאדת,0
עלי,0
אלידות,0
כונהא,0
תנצ'אף,0
ללאכל,0
לתכמיל,0
אלשעור,0
אעני,0
כביצה.,1
ולם,0
יחתאג',0
אן,0
יקול,0
לא,1
מיטמא,1
ולא,1
מטמא,1
ולא,1
מצטרף,1
לאן,0
ד'לך,0
בין,0
"ג'דא,",0
אד'א,0
כאנת,0
אלידות,0
אלתי,0
הי,0
טמאין,1
ומטמאין,1
אין,1
מצטרפין,1
וכל,1
שכן,1
שי,0
יקאל,0
פיה,0
לא,1
מיטמא,1
ולא,1
מטמא,1
אנה,0
לא,0
יצטרף.,0
